MENLEX_ID	MENLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
15	detecció gammagràfica del gangli sentinella	ca	01012021		detecció gammagràfica del gangli sentinella			detecció gammagràfica del gangli sentinella	
16	detecció isotòpica intraoperatòria de tumors	ca	01012021		detecció isotòpica intraoperatòria de tumors			detecció isotòpica intraoperatòria de tumors	
17	detecció isotòpica intraoperatòria del gangli sentinella	ca	01012021		detecció isotòpica intraoperatòria del gangli sentinella			detecció isotòpica intraoperatòria del gangli sentinella	
18	estudi gammagràfic de cos sencer amb ⁹⁹mTc(V)-àcid dimercaptosuccínic ||| estudi gammagràfic de cos sencer amb ⁹⁹mTc(V)-DMSA	ca	01012021		estudi gammagràfic de cos sencer amb ⁹⁹mTc(V)-àcid dimercaptosuccínic ||| estudi gammagràfic de cos sencer amb ⁹⁹mTc(V)-DMSA			estudi gammagràfic de cos sencer amb ⁹⁹mTc(V)-àcid dimercaptosuccínic	estudi gammagràfic de cos sencer amb ⁹⁹mTc(V)-DMSA
19	estudi gammagràfic de cos sencer amb ¹²³I	ca	01012021		estudi gammagràfic de cos sencer amb ¹²³I			estudi gammagràfic de cos sencer amb ¹²³I	
20	estudi gammagràfic de cos sencer amb ¹²³ o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració de protirelina	ca	01012021		estudi gammagràfic de cos sencer amb ¹²³ o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració de protirelina			estudi gammagràfic de cos sencer amb ¹²³ o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide	estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| estudi gammagràfic de cos sencer amb ¹²³I o ¹³¹I després de l'administració de protirelina
21	estudi gammagràfic de cos sencer amb ¹²³I-metaiodobencilguanidina o  ¹³¹I-metaiodobencilguanidina ||| estudi gammagràfic de cos sencer amb ¹²³I-MIBG o  ¹³¹I-MIBG	ca	01012021		estudi gammagràfic de cos sencer amb ¹²³I-metaiodobencilguanidina o  ¹³¹I-metaiodobencilguanidina ||| estudi gammagràfic de cos sencer amb ¹²³I-MIBG o  ¹³¹I-MIBG			estudi gammagràfic de cos sencer amb ¹²³I-metaiodobencilguanidina o  ¹³¹I-metaiodobencilguanidina	estudi gammagràfic de cos sencer amb ¹²³I-MIBG o  ¹³¹I-MIBG
22	estudi gammagràfic de cos sencer amb  ¹³¹II	ca	01012021		estudi gammagràfic de cos sencer amb  ¹³¹II			estudi gammagràfic de cos sencer amb  ¹³¹II	
23	estudi gammagràfic de cos sencer amb altres anticossos monoclonals	ca	01012021		estudi gammagràfic de cos sencer amb altres anticossos monoclonals			estudi gammagràfic de cos sencer amb altres anticossos monoclonals	
24	estudi gammagràfic de cos sencer amb anticossos monoclonals	ca	01012021		estudi gammagràfic de cos sencer amb anticossos monoclonals			estudi gammagràfic de cos sencer amb anticossos monoclonals	
25	estudi gammagràfic de cos sencer amb anticossos monoclonals anti-antigen carcinoembrionari ||| estudi gammagràfic de cos sencer amb anticossos monoclonals anti-ACE	ca	01012021		estudi gammagràfic de cos sencer amb anticossos monoclonals anti-antigen carcinoembrionari ||| estudi gammagràfic de cos sencer amb anticossos monoclonals anti-ACE			estudi gammagràfic de cos sencer amb anticossos monoclonals anti-antigen carcinoembrionari	estudi gammagràfic de cos sencer amb anticossos monoclonals anti-ACE
26	estudi gammagràfic de cos sencer amb citrat de ⁶⁷Ga en hematologia	ca	01012021		estudi gammagràfic de cos sencer amb citrat de ⁶⁷Ga en hematologia			estudi gammagràfic de cos sencer amb citrat de ⁶⁷Ga en hematologia	
27	estudi gammagràfic de cos sencer amb clorur de ²º¹Tl	ca	01012021		estudi gammagràfic de cos sencer amb clorur de ²º¹Tl			estudi gammagràfic de cos sencer amb clorur de ²º¹Tl	
28	estudi gammagràfic de cos sencer dels receptors de la somatostatina en el sistema endocrí	ca	01012021		estudi gammagràfic de cos sencer dels receptors de la somatostatina en el sistema endocrí			estudi gammagràfic de cos sencer dels receptors de la somatostatina en el sistema endocrí	
29	estudi gammagràfic oncològic amb ⁹⁹ͫ  ͫTc-metoxiisobutilisonitril ||| estudi gammagràfic oncològic amb ⁹⁹ͫ  ͫTc-MIBI	ca	01012021		estudi gammagràfic oncològic amb ⁹⁹ͫ  ͫTc-metoxiisobutilisonitril ||| estudi gammagràfic oncològic amb ⁹⁹ͫ  ͫTc-MIBI			estudi gammagràfic oncològic amb ⁹⁹ͫ  ͫTc-metoxiisobutilisonitril	estudi gammagràfic oncològic amb ⁹⁹ͫ  ͫTc-MIBI
30	estudi gammagràfic oncològic amb ⁹⁹  ͫTc-tetrofosmina	ca	01012021		estudi gammagràfic oncològic amb ⁹⁹  ͫTc-tetrofosmina			estudi gammagràfic oncològic amb ⁹⁹  ͫTc-tetrofosmina	
31	estudi gammagràfic oncològic amb citrat de ⁶⁷Ga	ca	01012021		estudi gammagràfic oncològic amb citrat de ⁶⁷Ga			estudi gammagràfic oncològic amb citrat de ⁶⁷Ga	
32	estudi gammagràfic oncològic amb iodur de sodi de ¹³¹I	ca	01012021		estudi gammagràfic oncològic amb iodur de sodi de ¹³¹I			estudi gammagràfic oncològic amb iodur de sodi de ¹³¹I	
33	estudi gammagràfic oncològic amb metaiodobencilguanidina ||| estudi gammagràfic oncològic amb MIBG	ca	01012021		estudi gammagràfic oncològic amb metaiodobencilguanidina ||| estudi gammagràfic oncològic amb MIBG			estudi gammagràfic oncològic amb metaiodobencilguanidina	estudi gammagràfic oncològic amb MIBG
34	estudi gammagràfic oncològic amb receptors de la somatostatina	ca	01012021		estudi gammagràfic oncològic amb receptors de la somatostatina			estudi gammagràfic oncològic amb receptors de la somatostatina	
35	estudi gammagràfic ossi de cos complet	ca	01012021		estudi gammagràfic ossi de cos complet			estudi gammagràfic ossi de cos complet	
36	estudi radioisotòpic de la permeabilitat intestinal	ca	01012021		estudi radioisotòpic de la permeabilitat intestinal			estudi radioisotòpic de la permeabilitat intestinal	
37	filtració glomerular	ca	01012021		filtració glomerular			filtració glomerular	
38	flebogammagrafia directa	ca	01012021		flebogammagrafia directa			flebogammagrafia directa	
39	flebogammagrafia indirecta	ca	01012021		flebogammagrafia indirecta			flebogammagrafia indirecta	
40	gammagrafia amb anticossos monoclonals anti-antigen carcinoembrionari ||| gammagrafia amb anticossos monoclonals anti-ACE	ca	01012021		gammagrafia amb anticossos monoclonals anti-antigen carcinoembrionari ||| gammagrafia amb anticossos monoclonals anti-ACE			gammagrafia amb anticossos monoclonals anti-antigen carcinoembrionari	gammagrafia amb anticossos monoclonals anti-ACE
41	gammagrafia amb citrat de ⁶⁷Ga en infecció	ca	01012021		gammagrafia amb citrat de ⁶⁷Ga en infecció			gammagrafia amb citrat de ⁶⁷Ga en infecció	
42	gammagrafia amb immunoglobulines en infecció	ca	01012021		gammagrafia amb immunoglobulines en infecció			gammagrafia amb immunoglobulines en infecció	
43	gammagrafia amb leucòcits marcats en infecció	ca	01012021		gammagrafia amb leucòcits marcats en infecció			gammagrafia amb leucòcits marcats en infecció	
44	gammagrafia amb leucòcits marcats en malaltia inflamatòria intestinal	ca	01012021		gammagrafia amb leucòcits marcats en malaltia inflamatòria intestinal			gammagrafia amb leucòcits marcats en malaltia inflamatòria intestinal	
45	gammagrafia cerebral ||| encefalografia per raigs gamma ||| encefalometria isotòpica ||| gammaencefalografia	ca	01012021		gammagrafia cerebral ||| encefalografia per raigs gamma ||| encefalometria isotòpica ||| gammaencefalografia			gammagrafia cerebral	encefalografia per raigs gamma ||| encefalometria isotòpica ||| gammaencefalografia
46	gammagrafia d'hemangiomes	ca	01012021		gammagrafia d'hemangiomes			gammagrafia d'hemangiomes	
47	gammagrafia d'hemorràgia digestiva amb col·loides	ca	01012021		gammagrafia d'hemorràgia digestiva amb col·loides			gammagrafia d'hemorràgia digestiva amb col·loides	
48	gammagrafia d'hemorràgia digestiva amb hematies marcades	ca	01012021		gammagrafia d'hemorràgia digestiva amb hematies marcades			gammagrafia d'hemorràgia digestiva amb hematies marcades	
49	gammagrafia de derivació del líquid cefalorraquidi ||| gammagrafia de derivació del LCR	ca	01012021		gammagrafia de derivació del líquid cefalorraquidi ||| gammagrafia de derivació del LCR			gammagrafia de derivació del líquid cefalorraquidi	gammagrafia de derivació del LCR
50	gammagrafia de derivacions cardíaques	ca	01012021		gammagrafia de derivacions cardíaques			gammagrafia de derivacions cardíaques	
51	gammagrafia de derivacions dreta-esquerra	ca	01012021		gammagrafia de derivacions dreta-esquerra			gammagrafia de derivacions dreta-esquerra	
52	gammagrafia de derivacions intestinals	ca	01012021		gammagrafia de derivacions intestinals			gammagrafia de derivacions intestinals	
53	gammagrafia de derivacions peritoneals	ca	01012021		gammagrafia de derivacions peritoneals			gammagrafia de derivacions peritoneals	
54	gammagrafia de derivacions vasculars	ca	01012021		gammagrafia de derivacions vasculars			gammagrafia de derivacions vasculars	
55	gammagrafia de la glàndula paratiroide ||| gammagrafia de la paratiroide ||| gammagrafia paratiroidal	ca	01012021		gammagrafia de la glàndula paratiroide ||| gammagrafia de la paratiroide ||| gammagrafia paratiroidal			gammagrafia de la glàndula paratiroide	gammagrafia de la paratiroide ||| gammagrafia paratiroidal
56	gammagrafia de la glàndula tiroide ||| gammagrafia de la tiroide ||| gammagrafia tiroidal	ca	01012021		gammagrafia de la glàndula tiroide ||| gammagrafia de la tiroide ||| gammagrafia tiroidal			gammagrafia de la glàndula tiroide	gammagrafia de la tiroide ||| gammagrafia tiroidal
57	gammagrafia de la medul·la eritropoètica	ca	01012021		gammagrafia de la medul·la eritropoètica			gammagrafia de la medul·la eritropoètica	
58	gammagrafia de la medul·la granulopoètica	ca	01012021		gammagrafia de la medul·la granulopoètica			gammagrafia de la medul·la granulopoètica	
59	gammagrafia de la medul·la macrofàgica	ca	01012021		gammagrafia de la medul·la macrofàgica			gammagrafia de la medul·la macrofàgica	
60	gammagrafia de la mucosa gàstrica ectòpica	ca	01012021		gammagrafia de la mucosa gàstrica ectòpica			gammagrafia de la mucosa gàstrica ectòpica	
61	gammagrafia de la trombosi	ca	01012021		gammagrafia de la trombosi			gammagrafia de la trombosi	
62	gammagrafia de mort cerebral amb traçadors de flux sanguini	ca	01012021		gammagrafia de mort cerebral amb traçadors de flux sanguini			gammagrafia de mort cerebral amb traçadors de flux sanguini	
63	gammagrafia del buidament gàstric	ca	01012021		gammagrafia del buidament gàstric			gammagrafia del buidament gàstric	
64	gammagrafia del còrtex suprarenal ||| gammagrafia corticosuprarenal	ca	01012021		gammagrafia del còrtex suprarenal ||| gammagrafia corticosuprarenal			gammagrafia del còrtex suprarenal	gammagrafia corticosuprarenal
65	gammagrafia del còrtex suprarenal després d'una aturada ||| gammagrafia corticosuprarenal després d'una aturada	ca	01012021		gammagrafia del còrtex suprarenal després d'una aturada ||| gammagrafia corticosuprarenal després d'una aturada			gammagrafia del còrtex suprarenal després d'una aturada	gammagrafia corticosuprarenal després d'una aturada
66	gammagrafia del reflux gastroentèric	ca	01012021		gammagrafia del reflux gastroentèric			gammagrafia del reflux gastroentèric	
67	gammagrafia del reflux gastroesofàgic	ca	01012021		gammagrafia del reflux gastroesofàgic			gammagrafia del reflux gastroesofàgic	
68	gammagrafia del trànsit esofàgic ||| gammagrafia del TEGD ||| gammagrafia del trànsit esofagogàstric ||| gammagrafia del trànsit esofagogastricoduodenal	ca	01012021		gammagrafia del trànsit esofàgic ||| gammagrafia del TEGD ||| gammagrafia del trànsit esofagogàstric ||| gammagrafia del trànsit esofagogastricoduodenal			gammagrafia del trànsit esofàgic	gammagrafia del TEGD ||| gammagrafia del trànsit esofagogàstric ||| gammagrafia del trànsit esofagogastricoduodenal
69	gammagrafia del trànsit intestinal	ca	01012021		gammagrafia del trànsit intestinal			gammagrafia del trànsit intestinal	
70	gammagrafia dels plexes coroides	ca	01012021		gammagrafia dels plexes coroides			gammagrafia dels plexes coroides	
71	gammagrafia esplènica amb col·loides	ca	01012021		gammagrafia esplènica amb col·loides			gammagrafia esplènica amb col·loides	
72	gammagrafia esplènica amb hematies desnaturalitzades	ca	01012021		gammagrafia esplènica amb hematies desnaturalitzades			gammagrafia esplènica amb hematies desnaturalitzades	
73	gammagrafia hepàtica de perfusió regional (microesferes)	ca	01012021		gammagrafia hepàtica de perfusió regional (microesferes)			gammagrafia hepàtica de perfusió regional (microesferes)	
74	gammagrafia hepatobiliar	ca	01012021		gammagrafia hepatobiliar			gammagrafia hepatobiliar	
75	gammagrafia hepatobiliar després d'una estimulació fisiològica	ca	01012021		gammagrafia hepatobiliar després d'una estimulació fisiològica			gammagrafia hepatobiliar després d'una estimulació fisiològica	
76	gammagrafia hepatobiliar després d'una intervenció farmacològica	ca	01012021		gammagrafia hepatobiliar després d'una intervenció farmacològica			gammagrafia hepatobiliar després d'una intervenció farmacològica	
77	gammagrafia hepatoesplènica	ca	01012021		gammagrafia hepatoesplènica			gammagrafia hepatoesplènica	
78	gammagrafia miocardíaca amb pirofosfats	ca	01012021		gammagrafia miocardíaca amb pirofosfats			gammagrafia miocardíaca amb pirofosfats	
79	gammagrafia miocardíaca d'innervació	ca	01012021		gammagrafia miocardíaca d'innervació			gammagrafia miocardíaca d'innervació	
80	gammagrafia miocardíaca de perfusió (en repòs)	ca	01012021		gammagrafia miocardíaca de perfusió (en repòs)			gammagrafia miocardíaca de perfusió (en repòs)	
81	gammagrafia miocardíaca de perfusió després d'una estimulació fisiològica	ca	01012021		gammagrafia miocardíaca de perfusió després d'una estimulació fisiològica			gammagrafia miocardíaca de perfusió després d'una estimulació fisiològica	
82	gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (adenosina)	ca	01012021		gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (adenosina)			gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (adenosina)	
83	gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (dipiridamole)	ca	01012021		gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (dipiridamole)			gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (dipiridamole)	
84	gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (dobutamina)	ca	01012021		gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (dobutamina)			gammagrafia miocardíaca de perfusió després d'una intervenció farmacològica (dobutamina)	
85	gammagrafia miocardíaca de perfusió després d'una reinjecció	ca	01012021		gammagrafia miocardíaca de perfusió després d'una reinjecció			gammagrafia miocardíaca de perfusió després d'una reinjecció	
86	gammagrafia òssia amb citrat de 67Ga	ca	01012021		gammagrafia òssia amb citrat de 67Ga			gammagrafia òssia amb citrat de 67Ga	
87	gammagrafia òssia amb leucòcits marcats in vitro	ca	01012021		gammagrafia òssia amb leucòcits marcats in vitro			gammagrafia òssia amb leucòcits marcats in vitro	
88	gammagrafia òssia amb leucòcits marcats in vivo	ca	01012021		gammagrafia òssia amb leucòcits marcats in vivo			gammagrafia òssia amb leucòcits marcats in vivo	
89	gammagrafia òssia selectiva en dues fases	ca	01012021		gammagrafia òssia selectiva en dues fases			gammagrafia òssia selectiva en dues fases	
90	gammagrafia òssia selectiva en tres fases	ca	01012021		gammagrafia òssia selectiva en tres fases			gammagrafia òssia selectiva en tres fases	
91	gammagrafia pulmonar amb citrat de 67Ga	ca	01012021		gammagrafia pulmonar amb citrat de 67Ga			gammagrafia pulmonar amb citrat de 67Ga	
92	gammagrafia pulmonar de perfusió	ca	01012021		gammagrafia pulmonar de perfusió			gammagrafia pulmonar de perfusió	
93	gammagrafia pulmonar de ventilació	ca	01012021		gammagrafia pulmonar de ventilació			gammagrafia pulmonar de ventilació	
94	gammagrafia pulmonar dels receptors de la somatostatina	ca	01012021		gammagrafia pulmonar dels receptors de la somatostatina			gammagrafia pulmonar dels receptors de la somatostatina	
95	gammagrafia renal	ca	01012021		gammagrafia renal			gammagrafia renal	
96	gammagrafia renal amb plaquetes marcades	ca	01012021		gammagrafia renal amb plaquetes marcades			gammagrafia renal amb plaquetes marcades	
97	gammagrafia salival	ca	01012021		gammagrafia salival			gammagrafia salival	
98	gammagrafia suprarenal medul·lar	ca	01012021		gammagrafia suprarenal medul·lar			gammagrafia suprarenal medul·lar	
99	limfogammagrafia	ca	01012021		limfogammagrafia			limfogammagrafia	
100	malabsorció de sals biliars	ca	01012021		malabsorció de sals biliars			malabsorció de sals biliars	
101	mamogammagrafia isotòpica	ca	01012021		mamogammagrafia isotòpica			mamogammagrafia isotòpica	
102	prova de l'alè amb aminofenazona ||| prova de l'alè amb aminopirina	ca	01012021		prova de l'alè amb aminofenazona ||| prova de l'alè amb aminopirina			prova de l'alè amb aminofenazona	prova de l'alè amb aminopirina
103	prova de l'alè amb colquicina	ca	01012021		prova de l'alè amb colquicina			prova de l'alè amb colquicina	
104	prova de l'alè amb trioleïna	ca	01012021		prova de l'alè amb trioleïna			prova de l'alè amb trioleïna	
105	prova de l'alè amb urea	ca	01012021		prova de l'alè amb urea			prova de l'alè amb urea	
106	quantificació radioisotòpica de la cinètica ciliar	ca	01012021		quantificació radioisotòpica de la cinètica ciliar			quantificació radioisotòpica de la cinètica ciliar	
107	quantificació radioisotòpica de la depuració alveolocapil·lar	ca	01012021		quantificació radioisotòpica de la depuració alveolocapil·lar			quantificació radioisotòpica de la depuració alveolocapil·lar	
108	quantificació radioisotòpica de la pèrdua digestiva de proteïnes	ca	01012021		quantificació radioisotòpica de la pèrdua digestiva de proteïnes			quantificació radioisotòpica de la pèrdua digestiva de proteïnes	
109	quantificació radioisotòpica de sang en femta	ca	01012021		quantificació radioisotòpica de sang en femta			quantificació radioisotòpica de sang en femta	
110	rastreig gammagràfic amb immunoglobulines ||| escaneig gammagràfic amb immunoglobulines	ca	01012021		rastreig gammagràfic amb immunoglobulines ||| escaneig gammagràfic amb immunoglobulines			rastreig gammagràfic amb immunoglobulines	escaneig gammagràfic amb immunoglobulines
111	renograma ||| renocistograma	ca	01012021		renograma ||| renocistograma			renograma	renocistograma
112	renograma diürètic ||| renocistograma diürètic	ca	01012021		renograma diürètic ||| renocistograma diürètic			renograma diürètic	renocistograma diürètic
113	renograma per a després de l'administració d'un inhibidor de l'enzim conversiu de l'angiotensina ||| renocistograma per a després de l'administració d'un IECA ||| renocistograma per a després de l'administració d'un inhibidor de l'enzim conversiu de l'angiotensina ||| renograma per a després de l'administració d'un IECA	ca	01012021		renograma per a després de l'administració d'un inhibidor de l'enzim conversiu de l'angiotensina ||| renocistograma per a després de l'administració d'un IECA ||| renocistograma per a després de l'administració d'un inhibidor de l'enzim conversiu de l'angiotensina ||| renograma per a després de l'administració d'un IECA			renograma per a després de l'administració d'un inhibidor de l'enzim conversiu de l'angiotensina	renocistograma per a després de l'administració d'un IECA ||| renocistograma per a després de l'administració d'un inhibidor de l'enzim conversiu de l'angiotensina ||| renograma per a després de l'administració d'un IECA
114	sinoviortesi radioisotòpica amb itri	ca	01012021		sinoviortesi radioisotòpica amb itri			sinoviortesi radioisotòpica amb itri	
115	sinoviortesi radioisotòpica amb reni	ca	01012021		sinoviortesi radioisotòpica amb reni			sinoviortesi radioisotòpica amb reni	
116	taxa d'extracció tubular renal	ca	01012021		taxa d'extracció tubular renal			taxa d'extracció tubular renal	
117	tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I ||| SPECT/TAC amb ¹²³I ||| SPECT/TC amb ¹²³I	ca	01012021		tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I ||| SPECT/TAC amb ¹²³I ||| SPECT/TC amb ¹²³I			tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I	SPECT/TAC amb ¹²³I ||| SPECT/TC amb ¹²³I
118	tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració de protirelina ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració de protirelina ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració de protirelina	ca	01012021		tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració de protirelina ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració de protirelina ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració de protirelina			tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide	tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I o ¹³¹I després de l'administració de protirelina ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| SPECT/TAC amb ¹²³I o ¹³¹I després de l'administració de protirelina ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora d'hormona estimulant de la tiroide ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de tirotropina ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració d'hormona alliberadora de TSH ||| SPECT/TC amb ¹²³I o ¹³¹I després de l'administració de protirelina
119	tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I-metaiodobencilguanidina o ¹³¹I-metaiodobencilguanidina ||| SPECT/TAC amb ¹²³I-MIBG o ¹³¹I-MIBG ||| SPECT/TC amb ¹²³I-MIBG o ¹³¹I-MIBG	ca	01012021		tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I-metaiodobencilguanidina o ¹³¹I-metaiodobencilguanidina ||| SPECT/TAC amb ¹²³I-MIBG o ¹³¹I-MIBG ||| SPECT/TC amb ¹²³I-MIBG o ¹³¹I-MIBG			tomografia computada per emissió de fotó simple / tomografia computada amb ¹²³I-metaiodobencilguanidina o ¹³¹I-metaiodobencilguanidina	SPECT/TAC amb ¹²³I-MIBG o ¹³¹I-MIBG ||| SPECT/TC amb ¹²³I-MIBG o ¹³¹I-MIBG
120	tomografia computada per emissió de fotó simple / tomografia computada amb anticossos monoclonals anti-antigen carcinoembrionari ||| SPECT/TAC amb anticossos monoclonals anti-ACE ||| SPECT/TC amb anticossos monoclonals anti-ACE	ca	01012021		tomografia computada per emissió de fotó simple / tomografia computada amb anticossos monoclonals anti-antigen carcinoembrionari ||| SPECT/TAC amb anticossos monoclonals anti-ACE ||| SPECT/TC amb anticossos monoclonals anti-ACE			tomografia computada per emissió de fotó simple / tomografia computada amb anticossos monoclonals anti-antigen carcinoembrionari	SPECT/TAC amb anticossos monoclonals anti-ACE ||| SPECT/TC amb anticossos monoclonals anti-ACE
