COVLEX_ID	COVLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT	DEFINICIÓ	NOTES
13	anticòs	ca	01012021		anticòs			anticòs		Immunoglobulina secretada per les cèl·lules plasmàtiques en resposta a l'estimulació exercida per un antigen, al qual és capaç d'unir-se de manera específica.	NOTA: 1. Els anticossos són proteïnes plasmàtiques amb activitat immunitària. Són ?-globulines i, en menor proporció, ß-globulines. Cada molècula d'anticòs té una estructura única, que li permet unir-se de forma específica a l'antigen corresponent. NOTA: 2. Els símbols Ac i Ab, creats amb les inicials del prefix i el radical de les denominacions completes, es distribueixen segons la llengua: - En les llengües romàniques s'utilitza el símbol Ac (corresponent al català anticòs, el castellà anticuerpo, el francès anticorps i el portuguès anticorpo). - En anglès s'utilitza el símbol Ab (corresponent a antibody).
14	antipirètic	ca	01012021		antipirètic			antipirètic			NOTA: Per a dur a terme assaigs amb cegament doble amb fàrmacs, cal que la forma de presentació dels fàrmacs (mida, color, etc.) sigui idèntica.
15	antitèrmic	ca	01012021		antitèrmic			antitèrmic		Fàrmac o pràctica terapèutica amb què es rebaixa o s'elimina la febre.	NOTA: Els mecanismes d'actuació dels antipirètics són diversos: poden actuar provocant una vasodilatació perifèrica general (alcohol), un alentiment del metabolisme general (quinina, salicilat sòdic), la narcosi del sistema nerviós central (anestèsies amb èter) o una acció específica sobre el centre de la termoregulació.
16	aplanar la corba	ca	01012021		aplanar la corba			aplanar la corba		Estratègia de salut pública per a alentir l'augment de casos d'una epidèmia i evitar saturar la sanitat.	
17	arrítmia	ca	01012021		arrítmia			arrítmia		Trastorn o alteració del ritme cardíac.	NOTA: 1. L'arrítmia pot ocasionar des de problemes funcionals sense cap transcendència per als pacients, fins a alteracions que afecten de forma important la seva qualitat de vida o fins i tot poden comportar-ne un risc. NOTA: 2. El tractament dels pacients amb arrítmia pot anar des de simples recomanacions mèdiques a l'administració de fàrmacs o tractaments més complexos. Algunes arrítmies afecten un nombre molt elevat de pacients i suposen un problema de gran rellevància mèdica i social, per això, l'Àrea del Cor de CATSALUT ha desenvolupat un programa transversal d'arrítmies per coordinar el tractament d'aquest problema en tots els seus contextos: pediatria, adults, atenció primària, pacients crítics.
18	asimptomàtic -a	ca	01012021		asimptomàtic -a			asimptomàtic -a		Que no presenta cap manifestació clínica aparent de malaltia.	
19	assaig aleatoritzat ||| assaig clínic aleatoritzat ||| ACA	ca	01012021		assaig aleatoritzat ||| assaig clínic aleatoritzat ||| ACA			assaig aleatoritzat	assaig clínic aleatoritzat ||| ACA	Assaig clínic en què l'assignació dels participants als grups d'estudi es fa de manera aleatòria.	
20	assaig amb cegament	ca	01012021		assaig amb cegament			assaig amb cegament		Assaig clínic en què s'oculta als participants, a l'investigador o a l'avaluador la intervenció assignada a cadascun dels participants.	
21	assaig amb cegament doble	ca	01012021		assaig amb cegament doble			assaig amb cegament doble		Assaig amb cegament en què s'oculta tant als participants com als investigadors la intervenció assignada a cadascun dels participants.	NOTA: L'atenció al dol forma part indestriable de la bona pràctica de tots els professionals de la salut.
22	assaig amb cegament triple	ca	01012021		assaig amb cegament triple			assaig amb cegament triple		Assaig amb cegament en què s'oculta tant als participants com a l'investigador i l'avaluador la intervenció assignada a cadascun dels participants.	
23	assaig clínic ||| assaig clínic comparatiu	ca	01012021		assaig clínic ||| assaig clínic comparatiu			assaig clínic	assaig clínic comparatiu	Estudi clínic, generalment comparatiu, que es duu a terme amb la finalitat d'avaluar l'eficàcia i la seguretat d'una intervenció i en què l'investigador controla directament les condicions en què es desenvolupa la recerca, especialment l'assignació de la intervenció	NOTA: De vegades, impròpiament, la forma assaig clínic s'utilitza també amb el significat d'estudi clínic.  La distinció conceptual entre estudi clínic (clinical study, en anglès) i assaig clínic (clinical trial, en anglès) és variable segons els especialistes, els països i les legislacions.  En aquest diccionari, s'ha utilitzat assaig clínic per a referir-se a una intervenció experimental, és a dir, comparativa, i en què l'investigador controla el procés d'assignació de les intervencions comparades. Aquesta definició d'assaig clínic equival al terme assaig clínic comparatiu (controlled clinical trial, CCT). Quan l'assignació de la intervenció es fa a l'atzar, s'utilitza el terme assaig clínic aleatoritzat (randomised clinical trial, RCT).
24	assaig comunitari ||| assaig d'intervenció comunitària	ca	01012021		assaig comunitari ||| assaig d'intervenció comunitària			assaig comunitari	assaig d'intervenció comunitària	Assaig el resultat del qual s'avalua en el conjunt de la població d'una comunitat determinada.	
25	astènia	ca	01012021		astènia			astènia		Sensació patològica de debilitat generalitzada.	NOTA: L'astènia pot ser conseqüència de diversos trastorns orgànics o psíquics i és un símptoma molt comú en persones amb càncer o amb malalties degeneratives. Quan es produeix com a conseqüència de trastorns orgànics, acostuma a ser més intensa cap a la fi del dia, mentre que, amb els trastorns psíquics, sol ser més intensa de bon matí.
26	atenció al dol	ca	01012021		atenció al dol			atenció al dol		Atenció que té per objectiu atenuar el patiment per la pèrdua d'una persona estimada.	
27	atenció domiciliària ||| servei d'atenció de salut a domicili	ca	01012021		atenció domiciliària ||| servei d'atenció de salut a domicili			atenció domiciliària	servei d'atenció de salut a domicili	Atenció social o sanitària que es presta a una persona en el lloc on viu, amb l'objectiu de mantenir-la en el seu entorn habitual i aconseguir així el seu màxim nivell de salut, qualitat de vida, benestar i autonomia	
28	atenció hospitalària	ca	01012021		atenció hospitalària			atenció hospitalària		Activitats assistencials, diagnòstiques, terapèutiques, rehabilitadores i de cures que tenen lloc en un centre hospitalari, on també es realitzen tasques d'educació, prevenció i promoció de la salut.	
29	atenció primària	ca	01012021		atenció primària			atenció primària		Assistència sanitària essencial a què tenen accés de manera general totes les persones i famílies d'una comunitat, que proporciona informació, assessorament, tractament, prevenció, teleassistència sanitària, atenció domiciliària i, si cal, la derivació de la persona atesa als serveis socials especialitzats i a la resta de serveis de benestar social.	
30	autoinflamació	ca	01012021		autoinflamació			autoinflamació		Procés que es produeix per una activació excessiva dels mecanismes de la immunitat innata a causa d'una desregulació en la secreció de citocines proinflamatòries, les quals causen dany tissular en els teixits propis de l'organisme.	
31	automostra	ca	01012021		automostra			automostra		Presa d'una mostra biològica duta a terme per la persona mateixa a qui s'ha de fer la prova biològica en què s'ha de processar aquesta mostra.	NOTA: Les automostres, en el cas de la COVID-19, es prenen mitjançant un frotis nasal. Tenen la finalitat de millorar la capacitat de detecció de la malaltia i agilitar la detecció de casos positius.
32	autoritat sanitària	ca	01012021		autoritat sanitària			autoritat sanitària		Òrgan que té la competència per a aplicar la normativa vigent en matèria de salut pública, en funció de la qual pot limitar drets individuals o col·lectius en benefici dels drets de la comunitat.	
33	aviptadil	ca	01012021		aviptadil			aviptadil		Fàrmac vasodilatador que redueix la pressió sanguínia i actua sobre el sistema immunitari.	NOTA: L'aviptadil és un anàleg del pèptid intestinal vasoactiu que s'empra en el tractament de la disfunció erèctil, la hipertensió pulmonar, la sarcoïdosi i la síndrome del destret respiratori agut. S'ha suggerit el seu ús per al tractament de la síndrome de dificultat respiratòria aguda associada a la COVID-19. És d'origen sintètic. NOTA: La denominació aviptadil és la forma catalana corresponent a la DCI.
34	azitromicina	ca	01012021		azitromicina			azitromicina		Fàrmac antibiòtic del grup dels macròlids que inhibeix la síntesi de les proteïnes bacterianes mitjançant la unió a la subunitat 50S del ribosoma bacterià, de manera que impossibilita la translocació dels pèptids.	NOTA: L'azitromicina és un antibiòtic d'espectre ampli que s'empra en el tractament de les infeccions respiratòries, entèriques i genitourinàries. Se n'ha suggerit l'ús per al tractament de la COVID-19. És un derivat semisintètic de l'eritromicina d'origen sintètic. NOTA: La denominació azitromicina és la forma catalana corresponent a la DCI.
35	baricitinib	ca	01012021		baricitinib			baricitinib		Fàrmac immunomodulador amb activitat antiinflamatòria que inhibeix de forma selectiva les cinases JAK1 i JAK2.	NOTA: El baricitinib s'empra en el tractament de l'artritis reumatoide en pacients que presenten intolerància a altres tractaments antireumàtics, en monoteràpia o combinat amb metotrexat. Se n'ha suggerit l'ús per al tractament de la COVID-19. És d'origen sintètic. NOTA: La denominació baricitinib és la forma catalana corresponent a la DCI.
36	bevacizumab	ca	01012021		bevacizumab			bevacizumab		Fàrmac immunomodulador i antineoplàstic que inhibeix l'angiogènesi mitjançant la inactivació de la proteïna sèrica VEGF-A.	Fàrmac immunomodulador i antineoplàstic que inhibeix l'angiogènesi mitjançant la inactivació de la proteïna sèrica VEGF-A. NOTA: El bevacizumab és un anticòs monoclonal humanitzat que s'empra, en combinació amb altres fàrmacs quimioteràpics, en el tractament de diversos tipus de càncers, com ara el colorectal metastàtic, el de mama metastàtic, el d'ovari epitelial, el de les trompes de Fal·lopi o del peritoneu, el carcinoma pulmonar no microcític avançat, el carcinoma renal metastàtic o avançat i el carcinoma cervical persistent, recurrent o metastàtic. També s'utilitza en monoteràpia en el tractament del glioblastoma. Se n'ha suggerit l'ús per al tractament de la COVID-19. NOTA: La denominació bevacizumab és la forma catalana corresponent a la DCI.
37	biaix ||| error sistemàtic	ca	01012021		biaix ||| error sistemàtic			biaix	error sistemàtic	Distorsió indesitjable en els resultats d'un estudi.	
38	bioquímica	ca	01012021		bioquímica			bioquímica		Ciència que estudia la química dels éssers vius, és a dir, la vida com a fenomen químic.	
39	bombolla ampliada ||| grup de convivència ampliada	ca	01012021		bombolla ampliada ||| grup de convivència ampliada			bombolla ampliada	grup de convivència ampliada	Bombolla formada per les persones entre les quals s'estableixen relacions familiars, laborals, escolars o recreatives en un àmbit acotat, reduït i estable.	
40	bombolla de convivència ||| grup de convivència	ca	01012021		bombolla de convivència ||| grup de convivència			bombolla de convivència	grup de convivència	Bombolla formada per les persones que habiten sota el mateix sostre i les que interactuen dins d'aquest espai, com ara les persones cuidadores.	NOTA: Els contactes fora de la bombolla de convivència cal limitar-los, tant com sigui possible, a les persones que integren la bombolla ampliada.
41	broncodilatador	ca	01012021		broncodilatador			broncodilatador		Fàrmac o agent que dilata els bronquis.	
42	bronqui	ca	01012021		bronqui			bronqui		Cadascun dels dos conductes en què es bifurca la tràquea i les seves ramificacions, a través de les quals l'aire arriba als pulmons.	NOTA: La denominació bronqui prové del llatí bronchium, que prové del grec brónchos 'gorga'.
43	bronquíol	ca	01012021		bronquíol			bronquíol		Darrera ramificació dels bronquis.	NOTA: Els bronquíols es caracteritzen per l'absència de cartílag a la seva paret. En sentit perifèric es distingeixen el bronquíol terminal, el bronquíol respiratori i els conductes alveolars, els quals comuniquen amb l'alvèol.
44	bronquiolitis ||| bronquitis capil·lar	ca	01012021		bronquiolitis ||| bronquitis capil·lar			bronquiolitis	bronquitis capil·lar	Inflamació dels bronquíols	
45	brot epidèmic	ca	01012021		brot epidèmic			brot epidèmic		Increment significatiu en un període de temps curt i determinat del nombre de persones d'una població afectades per una malaltia, produïda per un únic agent etiològic o una soca microbiana.	
46	cadena epidemiològica ||| cadena de transmissió	ca	01012021		cadena epidemiològica ||| cadena de transmissió			cadena epidemiològica	cadena de transmissió	Seqüència d'elements que s'articulen en la transmissió d'un agent des d'una font d'infecció a un hoste susceptible.	NOTA: Els elements de la cadena epidemiològica són el reservori, l'agent causal, el mecanisme de transmissió, l'hoste i el medi ambient.
47	camrelizumab	ca	01012021		camrelizumab			camrelizumab		Fàrmac amb potencial efecte inhibidor dels punts de control immunitari i antineoplàstic mitjançant el blocatge del receptor del lligand 1 de l'apoptosi.	NOTA: El camrelizumab és un anticòs monoclonal humanitzat que s'empra com a tractament experimental en l'hepatocarcinoma i el limfoma de Hodgkin, entre d'altres. Se n'ha suggerit l'ús, en combinació amb la timosina alfa-1, en el tractament de la COVID-19. NOTA: La denominació camrelizumab és la forma catalana corresponent a la DCI.
48	camussa antibaf	ca	01012021		camussa antibaf			camussa antibaf		Tovalloleta que evita que s'entelin les ulleres en portar la màscara posada.	
49	càpsida	ca	01012021		càpsida			càpsida		Coberta proteica formada per capsòmers que protegeix l'àcid nucleic d'un virus.	NOTA: La càpsida pot tenir una simetria helicoidal o cúbica.
50	màscara ||| careta ||| mascaretacareta ||| mascareta	ca	01012021		màscara ||| careta ||| mascaretacareta ||| mascareta			màscara	careta ||| mascaretacareta ||| mascareta	Peça que tapa la boca, el nas i la barbeta emprada per a evitar la inhalació o l'exhalació d'agents patògens o d'elements tòxics o nocius.	NOTA: Les màscares poden ser de diferents tipus i materials, segons les característiques de filtració i protecció. Els tipus principals són les higièniques, les quirúrgiques i les autofiltrants, amb filtres facials de partícules (FFP).
51	càrrega antigènica ||| Quantitat d'antigen que conté una vacuna.	ca	01012021		càrrega antigènica ||| Quantitat d'antigen que conté una vacuna.			càrrega antigènica	Quantitat d'antigen que conté una vacuna.		
52	càrrega viral ||| càrrega vírica	ca	01012021		càrrega viral ||| càrrega vírica			càrrega viral	càrrega vírica	Quantitat d'unitats víriques per mil·límetre cúbic que hi ha en un fluid orgànic.	
53	cas confirmat	ca	01012021		cas confirmat			cas confirmat		Persona amb resultat positiu en una prova diagnòstica.	
54	cas descartat	ca	01012021		cas descartat			cas descartat		Persona amb resultat negatiu en una prova diagnòstica.	
55	cas sospitós ||| cas possible ||| cas probable	ca	01012021		cas sospitós ||| cas possible ||| cas probable			cas sospitós	cas possible ||| cas probable	Persona amb símptomes compatibles amb una malaltia, pendent del resultat de la prova diagnòstica.	
56	casquet	ca	01012021		casquet			casquet		Peça de tela o de punt que s'adapta al cap, sobre els cabells, i que actua com a barrera de protecció per a possibles contactes amb microorganismes patògens.	NOTA: El casquet mèdic és un element imprescindible del vestuari professional en instal·lacions sanitàries per a mantenir la higiene i prevenir l'extensió d'infeccions nosocomials o la infecció eventual dels professionals sanitaris.
57	casset	ca	01012021		casset			casset		Peça rectangular de plàstic utilitzada en les proves de determinació ràpida d'anticossos IgG i IgM enfront de COVID-19 en sang total, sèrum o plasma.	
58	CD24Fc	ca	01012021		CD24Fc			CD24Fc		Fàrmac immunomodulador, amb potencial inhibidor dels punts de control del sistema immunitari, amb acció antiinflamatòria i antineoplàstica.	NOTA: El CD24Fc és una proteïna de fusió recombinant, formada pel domini extracel·lular de la glicoproteïna humana CD24 i el domini Fc de la immunoglobulina G1 humana, que s'empra en models animals de la malaltia de l'empelt contra l'hoste, l'esclerosi múltiple i l'artritis reumatoide. Se n'ha suggerit l'ús per al tractament de la COVID-19.
59	citocina	ca	01012021		citocina			citocina		Proteïna amb funció reguladora, de pes molecular baix, secretada per diferents tipus cel·lulars en resposta a estímuls diversos, que afecta el comportament d'aquestes mateixes cèl·lules o el d'altres.	NOTA: Les citocines secretades pels limfòcits s'anomenen limfocines, les secretades pels monòcits, monocines, i, en general, les produïdes pels leucòcits, interleucines.
60	clínica	ca	01012021		clínica			clínica		Conjunt de símptomes i signes associats a una malaltia.	
61	cloroquina	ca	01012021		cloroquina			cloroquina		Fàrmac antipalúdic, antiprotozoari i antireumàtic del grup de les 4-aminoquinolines que causa la mort dels paràsits del gènere Plasmodium mitjançant la inhibició de l'enzim hemopolimerasa i la consegüent acumulació tòxica del grup hemo dins el paràsit.	NOTA: La cloroquina s'empra en el tractament de la malària i de l'amebosi extraintestinal. També s'utilitza en el tractament d'algunes malalties autoimmunitàries, com ara el lupus eritematós sistèmic o l'artritis reumatoide, i en el tractament i la profilaxi de la infecció pel virus del Zika. Se n'ha suggerit l'ús per al tractament de la COVID-19. És d'origen sintètic.  La denominació cloroquina és la forma catalana corresponent a la DCI.
62	coagulopatia	ca	01012021		coagulopatia			coagulopatia		Trastorn de la coagulació de la sang.	
63	cobertura de vacunació ||| cobertura vacunal	ca	01012021		cobertura de vacunació ||| cobertura vacunal			cobertura de vacunació	cobertura vacunal	Proporció de persones vacunades contra una malaltia en un moment o període concret entre el total de persones per a les quals està indicada la vacunació contra aquesta malaltia.	
64	cobicistat	ca	01012021		cobicistat			cobicistat		Fàrmac antivíric, inhibidor del citocrom P450 3A, que augmenta l'exposició sistèmica als substrats d'aquest citocrom.	NOTA: El cobicistat s'empra, combinat amb altres fàrmacs antiretrovirals, com a potenciador farmacocinètic de l'atazanavir o el duranavir en el tractament de les infeccions pel VIH-1. Se n'ha suggerit l'ús per al tractament de la COVID-19. És d'origen sintètic.  La denominació cobicistat és la forma catalana corresponent a la DCI.
65	col·lectiu vulnerable de risc	ca	01012021		col·lectiu vulnerable de risc			col·lectiu vulnerable de risc		Conjunt de persones amb unes característiques determinades que augmenten el perill d'emmalaltir.	
66	colquicina	ca	01012021		colquicina			colquicina		Fàrmac antiinflamatori que es fixa a la tubulina i impedeix la migració de neutròfils cap al focus de la inflamació. NOTA: La colquicina s'empra en la profilaxi i el tractament de l'artritis gotosa aguda i en la prevenció d'episodis febrils de la febre mediterrània. Se n'ha suggerit l'ús per al tractament de la COVID-19. És un alcaloide d'origen natural que s'obté de les llavors i del bulb del còlquic (Colchicum autumnale). La denominació colquicina és la forma catalana corresponent a la DCI.	
67	comorbiditat	ca	01012021		comorbiditat			comorbiditat		Coincidència en una persona d'un o més problemes de salut crònics addicionals a un altre problema de salut, sovint també crònic, que es considera principal o que és l'objecte d'estudi.	
68	hemograma ||| compte hemàtic	ca	01012021		hemograma ||| compte hemàtic			hemograma	compte hemàtic	Resultat de l'estudi quantitatiu i qualitatiu dels elements formes de la sang (eritròcits, leucòcits i plaquetes).	
69	alta mèdica ||| alta ||| comunicat mèdic d'alta	ca	01012021		alta mèdica ||| alta ||| comunicat mèdic d'alta			alta mèdica	alta ||| comunicat mèdic d'alta	Declaració mèdica que constata que un treballador està en condicions de reincorporar-se a la feina després d'una malaltia, un accident o una situació de risc durant l'embaràs	
70	confinament	ca	01012021		confinament			confinament		Fet de tancar algú dins un espai limitat.	NOTA: 1. El confinament es pot dur a terme per motius diversos, com ara per salut pública, per seguretat ciutadana o per l'aplicació d'una sentència judicial. NOTA: 2. En el curs de la pandèmia de COVID-19, dins de Catalunya, s'han fet confinaments domiciliaris, perimetrals, municipals i comarcals
71	confinament perimetral	ca	01012021		confinament perimetral			confinament perimetral		Confinament que s'aplica a un territori delimitant-lo pel seu perímetre.	
72	congestió nasal	ca	01012021		congestió nasal			congestió nasal		Sensació de disminució del flux d'aire que entra per les fosses nasals deguda a la inflamació dels vasos sanguinis de la mucosa nasal per agents exògens nocius.	
73	conjuntivitis	ca	01012021		conjuntivitis			conjuntivitis		Inflamació de la conjuntiva, en general deguda a una infecció o a una causa al·lèrgica.	
74	contacte	ca	01012021		contacte			contacte		Persona sana que ha estat en relació pròxima amb una altra que pateix una malaltia contagiosa.	
75	contacte estret	ca	01012021		contacte estret			contacte estret		Persona amb qui s'ha compartit espai a menys de 2 metres de distància, durant més de 15 minuts, des de les 48 hores prèvies a l'inici dels símptomes d'una malaltia.	NOTA: En el cas de la COVID-19, si la persona positiva amb qui s'ha contactat no ha tingut símptomes, es tindran en compte les 48 hores prèvies a la realització de la prova diagnòstica.
76	contagi	ca	01012021		contagi			contagi		Transmissió d'una malaltia infecciosa d'un individu, ja sigui un ésser humà o un animal, a un altre individu.	
77	contagi directe ||| contagi immediat	ca	01012021		contagi directe ||| contagi immediat			contagi directe	contagi immediat	Contagi que es produeix quan hi ha un contacte proper o íntim entre l'individu infectat i l'individu receptor.	
78	contagi indirecte ||| contagi mediat	ca	01012021		contagi indirecte ||| contagi mediat			contagi indirecte	contagi mediat	Contagi que es produeix a través d'un medi, d'un objecte o d'un fòmit que han estat en contacte amb un individu infectat.	NOTA: Per exemple, el contagi indirecte es pot donar a través dels aliments, de l'aigua, de l'aire, d'alguns artròpodes o d'estris compartits (coberts, gots, tovalloles, etc.).
79	contagiositat	ca	01012021		contagiositat			contagiositat		Qualitat de contagiós.	
80	contenció	ca	01012021		contenció			contenció		Mesura adoptada per impedir que una situació es descontroli i traspassi els seus límits.	NOTA: En el cas de la pandèmia pel SARS-CoV-2, les mesures de contenció es van modificant en funció de la velocitat de propagació del virus, del risc de rebrot, dels casos nous confirmats, dels ingressats i de les morts.
81	convalescència	ca	01012021		convalescència			convalescència		Període de recuperació després d'una malaltia, una operació o una lesió, fins a la completa restauració de la salut.	
82	corba epidèmica ||| corba de contagis	ca	01012021		corba epidèmica ||| corba de contagis			corba epidèmica	corba de contagis	Gràfic de la distribució dels casos d'una determinada malaltia en el context d'una epidèmia.	
83	coronavirus	ca	01012021		coronavirus			coronavirus		Família de virus amb RNA monocatenari de sentit positiu, de forma esfèrica i amb càpsida de simetria helicoidal, amb un diàmetre de 80 a 130 nm, que presenten un embolcall amb espícules en forma de pètals o punxes.	NOTA: Els coronavirus són agents causants de malalties respiratòries i altres afeccions en diferents classes de vertebrats, incloent-hi els éssers humans. Alguns virus d'aquesta família són zoonòtics i en transmetre's a l'espècie humana causen malalties respiratòries de gravetat diversa i molt contagioses. En són exemple les pneumònies causades pels coronavirus SARS-CoV i MERS-CoV o la COVID-19.
84	coronavirus 2 de la síndrome respiratòria aguda greu ||| coronavirus de la COVID-19 ||| virus de la COVID-19 ||| SARS-CoV-2	ca	01012021		coronavirus 2 de la síndrome respiratòria aguda greu ||| coronavirus de la COVID-19 ||| virus de la COVID-19 ||| SARS-CoV-2			coronavirus 2 de la síndrome respiratòria aguda greu	coronavirus de la COVID-19 ||| virus de la COVID-19 ||| SARS-CoV-2	Virus de l'espècie coronavirus relacionat amb la síndrome respiratòria aguda greu, del gènere Betacoronavirus, de la família dels coronavirus, causant de la COVID-19.	NOTA: 1. La forma SARS-CoV-2 és una sigla corresponent a l'anglès severe acute respiratory syndrome coronavirus 2 i té un caràcter pràcticament internacional. NOTA: 2. La sigla COVID-19 correspon a l'anglès coronavirus disease ('malaltia per coronavirus'), juntament amb la xifra 19, que fa referència a l'any en què va sorgir (2019) a la ciutat xinesa de Wuhan.
