ALELEX_ID	ALELEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
26	al·lèrgia a l'àcid 5-aminosalicílic ||| al·lèrgia a la mesalazina ||| al·lèrgia a la fisalamina ||| al·lèrgia a la mesalamina ||| al·lèrgia al 5-ASA	ca	01012021		al·lèrgia a l'àcid 5-aminosalicílic ||| al·lèrgia a la mesalazina ||| al·lèrgia a la fisalamina ||| al·lèrgia a la mesalamina ||| al·lèrgia al 5-ASA			al·lèrgia a l'àcid 5-aminosalicílic	al·lèrgia a la mesalazina ||| al·lèrgia a la fisalamina ||| al·lèrgia a la mesalamina ||| al·lèrgia al 5-ASA
27	al·lèrgia a l'àcid acètic ||| al·lèrgia a l'àcid etanoic	ca	01012021		al·lèrgia a l'àcid acètic ||| al·lèrgia a l'àcid etanoic			al·lèrgia a l'àcid acètic	al·lèrgia a l'àcid etanoic
28	al·lèrgia a l'àcid ascòrbic ||| al·lèrgia a la vitamina C	ca	01012021		al·lèrgia a l'àcid ascòrbic ||| al·lèrgia a la vitamina C			al·lèrgia a l'àcid ascòrbic	al·lèrgia a la vitamina C
29	al·lèrgia a l'àcid azelaic	ca	01012021		al·lèrgia a l'àcid azelaic			al·lèrgia a l'àcid azelaic	
30	al·lèrgia a l'àcid biliar	ca	01012021		al·lèrgia a l'àcid biliar			al·lèrgia a l'àcid biliar	
31	al·lèrgia a l'àcid bòric ||| al·lèrgia a la sal sedant de Homberg	ca	01012021		al·lèrgia a l'àcid bòric ||| al·lèrgia a la sal sedant de Homberg			al·lèrgia a l'àcid bòric	al·lèrgia a la sal sedant de Homberg
32	al·lèrgia a l'àcid clavulànic	ca	01012021		al·lèrgia a l'àcid clavulànic			al·lèrgia a l'àcid clavulànic	
33	al·lèrgia a l'àcid cromoglícic i als antial·lèrgics relacionats ||| al·lèrgia a la cromolina i als antial·lèrgics relacionats ||| al·lèrgia al cromoglicat i als antial·lèrgics relacionats	ca	01012021		al·lèrgia a l'àcid cromoglícic i als antial·lèrgics relacionats ||| al·lèrgia a la cromolina i als antial·lèrgics relacionats ||| al·lèrgia al cromoglicat i als antial·lèrgics relacionats			al·lèrgia a l'àcid cromoglícic i als antial·lèrgics relacionats	al·lèrgia a la cromolina i als antial·lèrgics relacionats ||| al·lèrgia al cromoglicat i als antial·lèrgics relacionats
34	al·lèrgia a l'àcid deshidrocòlic	ca	01012021		al·lèrgia a l'àcid deshidrocòlic			al·lèrgia a l'àcid deshidrocòlic	
35	al·lèrgia a l'àcid etacrínic	ca	01012021		al·lèrgia a l'àcid etacrínic			al·lèrgia a l'àcid etacrínic	
36	al·lèrgia a l'àcid fòlic ||| al·lèrgia a l'àcid pteroïlglutàmic ||| al·lèrgia a la folacina ||| al·lèrgia a la vitamina B₉	ca	01012021		al·lèrgia a l'àcid fòlic ||| al·lèrgia a l'àcid pteroïlglutàmic ||| al·lèrgia a la folacina ||| al·lèrgia a la vitamina B₉			al·lèrgia a l'àcid fòlic	al·lèrgia a l'àcid pteroïlglutàmic ||| al·lèrgia a la folacina ||| al·lèrgia a la vitamina B₉
37	al·lèrgia a l'àcid folínic ||| al·lèrgia a la leucovorina	ca	01012021		al·lèrgia a l'àcid folínic ||| al·lèrgia a la leucovorina			al·lèrgia a l'àcid folínic	al·lèrgia a la leucovorina
38	al·lèrgia a l'àcid fusídic	ca	01012021		al·lèrgia a l'àcid fusídic			al·lèrgia a l'àcid fusídic	
39	al·lèrgia a l'àcid gamolènic	ca	01012021		al·lèrgia a l'àcid gamolènic			al·lèrgia a l'àcid gamolènic	
40	al·lèrgia a l'àcid mandèlic ||| al·lèrgia a l'àcid amigdàlic ||| al·lèrgia a l'àcid amigdalínic ||| al·lèrgia a l'àcid fenilglicòlic	ca	01012021		al·lèrgia a l'àcid mandèlic ||| al·lèrgia a l'àcid amigdàlic ||| al·lèrgia a l'àcid amigdalínic ||| al·lèrgia a l'àcid fenilglicòlic			al·lèrgia a l'àcid mandèlic	al·lèrgia a l'àcid amigdàlic ||| al·lèrgia a l'àcid amigdalínic ||| al·lèrgia a l'àcid fenilglicòlic
41	al·lèrgia a l'àcid mefenàmic	ca	01012021		al·lèrgia a l'àcid mefenàmic			al·lèrgia a l'àcid mefenàmic	
42	al·lèrgia a l'àcid nalidíxic	ca	01012021		al·lèrgia a l'àcid nalidíxic			al·lèrgia a l'àcid nalidíxic	
43	al·lèrgia a l'àcid nicotínic ||| al·lèrgia a la niacina ||| al·lèrgia a la vitamina B₃ ||| al·lèrgia a la vitamina PP	ca	01012021		al·lèrgia a l'àcid nicotínic ||| al·lèrgia a la niacina ||| al·lèrgia a la vitamina B₃ ||| al·lèrgia a la vitamina PP			al·lèrgia a l'àcid nicotínic	al·lèrgia a la niacina ||| al·lèrgia a la vitamina B₃ ||| al·lèrgia a la vitamina PP
44	al·lèrgia a l'àcid quenodesoxicòlic	ca	01012021		al·lèrgia a l'àcid quenodesoxicòlic			al·lèrgia a l'àcid quenodesoxicòlic	
45	al·lèrgia a l'àcid quenodesoxicòlic-ursodesoxicòlic	ca	01012021		al·lèrgia a l'àcid quenodesoxicòlic-ursodesoxicòlic			al·lèrgia a l'àcid quenodesoxicòlic-ursodesoxicòlic	
46	al·lèrgia a l'àcid salicílic per via tòpica	ca	01012021		al·lèrgia a l'àcid salicílic per via tòpica			al·lèrgia a l'àcid salicílic per via tòpica	
47	al·lèrgia a l'àcid tiaprofènic	ca	01012021		al·lèrgia a l'àcid tiaprofènic			al·lèrgia a l'àcid tiaprofènic	
48	al·lèrgia a l'àcid tranexàmic	ca	01012021		al·lèrgia a l'àcid tranexàmic			al·lèrgia a l'àcid tranexàmic	
49	al·lèrgia a l'àcid ursodesoxicòlic	ca	01012021		al·lèrgia a l'àcid ursodesoxicòlic			al·lèrgia a l'àcid ursodesoxicòlic	
50	al·lèrgia a l'acipimox	ca	01012021		al·lèrgia a l'acipimox			al·lèrgia a l'acipimox	
51	al·lèrgia a l'acitretina	ca	01012021		al·lèrgia a l'acitretina			al·lèrgia a l'acitretina	
52	al·lèrgia a l'aclarubicina	ca	01012021		al·lèrgia a l'aclarubicina			al·lèrgia a l'aclarubicina	
53	al·lèrgia a l'acrivastina	ca	01012021		al·lèrgia a l'acrivastina			al·lèrgia a l'acrivastina	
54	al·lèrgia a l'actinídia (Actinidia deliciosa) ||| al·lèrgia al kiwi (Actinidia deliciosa)	ca	01012021		al·lèrgia a l'actinídia (Actinidia deliciosa) ||| al·lèrgia al kiwi (Actinidia deliciosa)			al·lèrgia a l'actinídia (Actinidia deliciosa)	al·lèrgia al kiwi (Actinidia deliciosa)
55	al·lèrgia a l'adenosina	ca	01012021		al·lèrgia a l'adenosina			al·lèrgia a l'adenosina	
56	al·lèrgia a l'adhesiu tissular quirúrgic	ca	01012021		al·lèrgia a l'adhesiu tissular quirúrgic			al·lèrgia a l'adhesiu tissular quirúrgic	
57	al·lèrgia a l'agrelleta (Rumex acetosella)	ca	01012021		al·lèrgia a l'agrelleta (Rumex acetosella)			al·lèrgia a l'agrelleta (Rumex acetosella)	
58	al·lèrgia a l'agrostis (Agrostis stolonifera) ||| al·lèrgia a l'agrostis blanca (Agrostis stolonifera)	ca	01012021		al·lèrgia a l'agrostis (Agrostis stolonifera) ||| al·lèrgia a l'agrostis blanca (Agrostis stolonifera)			al·lèrgia a l'agrostis (Agrostis stolonifera)	al·lèrgia a l'agrostis blanca (Agrostis stolonifera)
59	al·lèrgia a l'aigua	ca	01012021		al·lèrgia a l'aigua			al·lèrgia a l'aigua	
60	al·lèrgia a l'albendazole	ca	01012021		al·lèrgia a l'albendazole			al·lèrgia a l'albendazole	
61	al·lèrgia a l'albercoc ||| al·lèrgia al fruit de l'albercoquer (Prunus armeniaca)	ca	01012021		al·lèrgia a l'albercoc ||| al·lèrgia al fruit de l'albercoquer (Prunus armeniaca)			al·lèrgia a l'albercoc	al·lèrgia al fruit de l'albercoquer (Prunus armeniaca)
62	al·lèrgia a l'albergínia ||| al·lèrgia al fruit de l'alberginiera (Solanum melongena)	ca	01012021		al·lèrgia a l'albergínia ||| al·lèrgia al fruit de l'alberginiera (Solanum melongena)			al·lèrgia a l'albergínia	al·lèrgia al fruit de l'alberginiera (Solanum melongena)
63	al·lèrgia a l'albúmina sèrica bovina	ca	01012021		al·lèrgia a l'albúmina sèrica bovina			al·lèrgia a l'albúmina sèrica bovina	
64	al·lèrgia a l'albúmina sèrica de gat	ca	01012021		al·lèrgia a l'albúmina sèrica de gat			al·lèrgia a l'albúmina sèrica de gat	
65	al·lèrgia a l'albúmina sèrica de gos	ca	01012021		al·lèrgia a l'albúmina sèrica de gos			al·lèrgia a l'albúmina sèrica de gos	
66	al·lèrgia a l'albúmina sèrica de porc	ca	01012021		al·lèrgia a l'albúmina sèrica de porc			al·lèrgia a l'albúmina sèrica de porc	
67	al·lèrgia a l'alclometasona	ca	01012021		al·lèrgia a l'alclometasona			al·lèrgia a l'alclometasona	
68	al·lèrgia a l'alcohol desnaturalitzat industrial ||| al·lèrgia a l'alcohol desnaturalitzat per a usos industrials ||| al·lèrgia a l'esperit metilat industrial ||| al·lèrgia a l'esperit metilat per a usos industrials	ca	01012021		al·lèrgia a l'alcohol desnaturalitzat industrial ||| al·lèrgia a l'alcohol desnaturalitzat per a usos industrials ||| al·lèrgia a l'esperit metilat industrial ||| al·lèrgia a l'esperit metilat per a usos industrials			al·lèrgia a l'alcohol desnaturalitzat industrial	al·lèrgia a l'alcohol desnaturalitzat per a usos industrials ||| al·lèrgia a l'esperit metilat industrial ||| al·lèrgia a l'esperit metilat per a usos industrials
69	al·lèrgia a l'alcohol etílic ||| al·lèrgia a l'alcohol ||| al·lèrgia a l'etanol	ca	01012021		al·lèrgia a l'alcohol etílic ||| al·lèrgia a l'alcohol ||| al·lèrgia a l'etanol			al·lèrgia a l'alcohol etílic	al·lèrgia a l'alcohol ||| al·lèrgia a l'etanol
70	al·lèrgia a l'alcohol nicotinílic	ca	01012021		al·lèrgia a l'alcohol nicotinílic			al·lèrgia a l'alcohol nicotinílic	
71	al·lèrgia a l'alcohol polivinílic	ca	01012021		al·lèrgia a l'alcohol polivinílic			al·lèrgia a l'alcohol polivinílic	
72	al·lèrgia a l'alcuroni	ca	01012021		al·lèrgia a l'alcuroni			al·lèrgia a l'alcuroni	
73	al·lèrgia a l'aldesleucina	ca	01012021		al·lèrgia a l'aldesleucina			al·lèrgia a l'aldesleucina	
74	al·lèrgia a l'alfàbrega (Ocimum basilicum) ||| al·lèrgia a l'alfàbega (Ocimum basilicum) ||| al·lèrgia a l'alfabeguera (Ocimum basilicum) ||| al·lèrgia a l'alfabreguera (Ocimum basilicum)	ca	01012021		al·lèrgia a l'alfàbrega (Ocimum basilicum) ||| al·lèrgia a l'alfàbega (Ocimum basilicum) ||| al·lèrgia a l'alfabeguera (Ocimum basilicum) ||| al·lèrgia a l'alfabreguera (Ocimum basilicum)			al·lèrgia a l'alfàbrega (Ocimum basilicum)	al·lèrgia a l'alfàbega (Ocimum basilicum) ||| al·lèrgia a l'alfabeguera (Ocimum basilicum) ||| al·lèrgia a l'alfabreguera (Ocimum basilicum)
75	al·lèrgia a l'alfentanil	ca	01012021		al·lèrgia a l'alfentanil			al·lèrgia a l'alfentanil	
76	al·lèrgia a l'alfuzosina	ca	01012021		al·lèrgia a l'alfuzosina			al·lèrgia a l'alfuzosina	
77	al·lèrgia a l'alimemazina ||| al·lèrgia a la trimeprazina	ca	01012021		al·lèrgia a l'alimemazina ||| al·lèrgia a la trimeprazina			al·lèrgia a l'alimemazina	al·lèrgia a la trimeprazina
78	al·lèrgia a l'alimentació enteral i als complements alimentaris ||| al·lèrgia a l'alimentació enteral i als complements nutricionals ||| al·lèrgia a la nutrició enteral i als complements alimentaris ||| al·lèrgia a la nutrició enteral i als complements nutricionals	ca	01012021		al·lèrgia a l'alimentació enteral i als complements alimentaris ||| al·lèrgia a l'alimentació enteral i als complements nutricionals ||| al·lèrgia a la nutrició enteral i als complements alimentaris ||| al·lèrgia a la nutrició enteral i als complements nutricionals			al·lèrgia a l'alimentació enteral i als complements alimentaris	al·lèrgia a l'alimentació enteral i als complements nutricionals ||| al·lèrgia a la nutrició enteral i als complements alimentaris ||| al·lèrgia a la nutrició enteral i als complements nutricionals
79	al·lèrgia a l'alimentació parenteral ||| al·lèrgia a la nutrició intravenosa ||| al·lèrgia a la nutrició parenteral	ca	01012021		al·lèrgia a l'alimentació parenteral ||| al·lèrgia a la nutrició intravenosa ||| al·lèrgia a la nutrició parenteral			al·lèrgia a l'alimentació parenteral	al·lèrgia a la nutrició intravenosa ||| al·lèrgia a la nutrició parenteral
80	al·lèrgia a l'alimentació parenteral preparada	ca	01012021		al·lèrgia a l'alimentació parenteral preparada			al·lèrgia a l'alimentació parenteral preparada	
81	al·lèrgia a l'all ||| al·lèrgia a la cabeça de l'all (Allium sativum)	ca	01012021		al·lèrgia a l'all ||| al·lèrgia a la cabeça de l'all (Allium sativum)			al·lèrgia a l'all	al·lèrgia a la cabeça de l'all (Allium sativum)
82	al·lèrgia a l'al·lilestrenol	ca	01012021		al·lèrgia a l'al·lilestrenol			al·lèrgia a l'al·lilestrenol	
83	al·lèrgia a l'al·lopurinol	ca	01012021		al·lèrgia a l'al·lopurinol			al·lèrgia a l'al·lopurinol	
84	al·lèrgia a l'alopecur de prat (Alopecurus pratensis)	ca	01012021		al·lèrgia a l'alopecur de prat (Alopecurus pratensis)			al·lèrgia a l'alopecur de prat (Alopecurus pratensis)	
85	al·lèrgia a l'alprazolam	ca	01012021		al·lèrgia a l'alprazolam			al·lèrgia a l'alprazolam	
86	al·lèrgia a l'alprostadil	ca	01012021		al·lèrgia a l'alprostadil			al·lèrgia a l'alprostadil	
87	al·lèrgia a l'alteplasa	ca	01012021		al·lèrgia a l'alteplasa			al·lèrgia a l'alteplasa	
88	al·lèrgia a l'altimira (Artemisia vulgaris)	ca	01012021		al·lèrgia a l'altimira (Artemisia vulgaris)			al·lèrgia a l'altimira (Artemisia vulgaris)	
89	al·lèrgia a l'alumini	ca	01012021		al·lèrgia a l'alumini			al·lèrgia a l'alumini	
90	al·lèrgia a l'alverina	ca	01012021		al·lèrgia a l'alverina			al·lèrgia a l'alverina	
91	al·lèrgia a l'alvocat ||| al·lèrgia al fruit de l'alvocater (Persea americana)	ca	01012021		al·lèrgia a l'alvocat ||| al·lèrgia al fruit de l'alvocater (Persea americana)			al·lèrgia a l'alvocat	al·lèrgia al fruit de l'alvocater (Persea americana)
92	al·lèrgia a l'alzina (Quercus ilex)	ca	01012021		al·lèrgia a l'alzina (Quercus ilex)			al·lèrgia a l'alzina (Quercus ilex)	
93	al·lèrgia a l'amantadina	ca	01012021		al·lèrgia a l'amantadina			al·lèrgia a l'amantadina	
94	al·lèrgia a l'amarant (Amaranthus)	ca	01012021		al·lèrgia a l'amarant (Amaranthus)			al·lèrgia a l'amarant (Amaranthus)	
95	al·lèrgia a l'ametlla ||| al·lèrgia a l'ametla ||| al·lèrgia al fruit de l'ametller (Prunus dulcis)	ca	01012021		al·lèrgia a l'ametlla ||| al·lèrgia a l'ametla ||| al·lèrgia al fruit de l'ametller (Prunus dulcis)			al·lèrgia a l'ametlla	al·lèrgia a l'ametla ||| al·lèrgia al fruit de l'ametller (Prunus dulcis)
96	al·lèrgia a l'amfepramona	ca	01012021		al·lèrgia a l'amfepramona			al·lèrgia a l'amfepramona	
97	al·lèrgia al dietilpropió	ca	01012021		al·lèrgia al dietilpropió			al·lèrgia al dietilpropió	
98	al·lèrgia a l'amfotericina ||| al·lèrgia a l'amfotericina B	ca	01012021		al·lèrgia a l'amfotericina ||| al·lèrgia a l'amfotericina B			al·lèrgia a l'amfotericina	al·lèrgia a l'amfotericina B
99	al·lèrgia a l'amifostina	ca	01012021		al·lèrgia a l'amifostina			al·lèrgia a l'amifostina	
100	al·lèrgia a l'amikacina	ca	01012021		al·lèrgia a l'amikacina			al·lèrgia a l'amikacina	
101	al·lèrgia a l'amilasa	ca	01012021		al·lèrgia a l'amilasa			al·lèrgia a l'amilasa	
102	al·lèrgia a l'amilorida	ca	01012021		al·lèrgia a l'amilorida			al·lèrgia a l'amilorida	
103	al·lèrgia a l'amilorida i als diürètics de nansa ||| al·lèrgia a l'amilorida i als diürètics de sostre alt	ca	01012021		al·lèrgia a l'amilorida i als diürètics de nansa ||| al·lèrgia a l'amilorida i als diürètics de sostre alt			al·lèrgia a l'amilorida i als diürètics de nansa	al·lèrgia a l'amilorida i als diürètics de sostre alt
104	al·lèrgia a l'amilorida i als diürètics tiazídics	ca	01012021		al·lèrgia a l'amilorida i als diürètics tiazídics			al·lèrgia a l'amilorida i als diürètics tiazídics	
105	al·lèrgia a l'aminofil·lina	ca	01012021		al·lèrgia a l'aminofil·lina			al·lèrgia a l'aminofil·lina	
106	al·lèrgia a l'aminoglutetimida	ca	01012021		al·lèrgia a l'aminoglutetimida			al·lèrgia a l'aminoglutetimida	
107	al·lèrgia a l'amiodarona	ca	01012021		al·lèrgia a l'amiodarona			al·lèrgia a l'amiodarona	
108	al·lèrgia a l'amitriptilina	ca	01012021		al·lèrgia a l'amitriptilina			al·lèrgia a l'amitriptilina	
109	al·lèrgia a l'amlodipina	ca	01012021		al·lèrgia a l'amlodipina			al·lèrgia a l'amlodipina	
110	al·lèrgia a l'amobarbital	ca	01012021		al·lèrgia a l'amobarbital			al·lèrgia a l'amobarbital	
111	al·lèrgia a l'amobarbital sòdic ||| al·lèrgia a l'amobarbital de sodi	ca	01012021		al·lèrgia a l'amobarbital sòdic ||| al·lèrgia a l'amobarbital de sodi			al·lèrgia a l'amobarbital sòdic	al·lèrgia a l'amobarbital de sodi
112	al·lèrgia a l'amodiaquina	ca	01012021		al·lèrgia a l'amodiaquina			al·lèrgia a l'amodiaquina	
113	al·lèrgia a l'amorolfina	ca	01012021		al·lèrgia a l'amorolfina			al·lèrgia a l'amorolfina	
114	al·lèrgia a l'amoxapina	ca	01012021		al·lèrgia a l'amoxapina			al·lèrgia a l'amoxapina	
115	al·lèrgia a l'amoxicil·lina	ca	01012021		al·lèrgia a l'amoxicil·lina			al·lèrgia a l'amoxicil·lina	
116	al·lèrgia a l'amoxicil·lina-àcid clavulànic ||| al·lèrgia a l'amoxicil·lina-clavulanat de potassi	ca	01012021		al·lèrgia a l'amoxicil·lina-àcid clavulànic ||| al·lèrgia a l'amoxicil·lina-clavulanat de potassi			al·lèrgia a l'amoxicil·lina-àcid clavulànic	al·lèrgia a l'amoxicil·lina-clavulanat de potassi
117	al·lèrgia a l'ampicil·lina	ca	01012021		al·lèrgia a l'ampicil·lina			al·lèrgia a l'ampicil·lina	
118	al·lèrgia a l'ampicil·lina-cloxacil·lina	ca	01012021		al·lèrgia a l'ampicil·lina-cloxacil·lina			al·lèrgia a l'ampicil·lina-cloxacil·lina	
119	al·lèrgia a l'ampicil·lina-flucloxacil·lina	ca	01012021		al·lèrgia a l'ampicil·lina-flucloxacil·lina			al·lèrgia a l'ampicil·lina-flucloxacil·lina	
120	al·lèrgia a l'amsacrina	ca	01012021		al·lèrgia a l'amsacrina			al·lèrgia a l'amsacrina	
121	al·lèrgia a l'anacard ||| al·lèrgia a la llavor de l'anacard (Anacardium occidentale) ||| al·lèrgia al fruit de l'anacard (Anacardium occidentale)	ca	01012021		al·lèrgia a l'anacard ||| al·lèrgia a la llavor de l'anacard (Anacardium occidentale) ||| al·lèrgia al fruit de l'anacard (Anacardium occidentale)			al·lèrgia a l'anacard	al·lèrgia a la llavor de l'anacard (Anacardium occidentale) ||| al·lèrgia al fruit de l'anacard (Anacardium occidentale)
122	al·lèrgia a l'ancrod	ca	01012021		al·lèrgia a l'ancrod			al·lèrgia a l'ancrod	
123	al·lèrgia a l'anet (Anethum graveolens) ||| al·lèrgia al fonoll pudent (Anethum graveolens)	ca	01012021		al·lèrgia a l'anet (Anethum graveolens) ||| al·lèrgia al fonoll pudent (Anethum graveolens)			al·lèrgia a l'anet (Anethum graveolens)	al·lèrgia al fonoll pudent (Anethum graveolens)
124	al·lèrgia a l'anfós lanceolat (Epinephelus lanceolatus)	ca	01012021		al·lèrgia a l'anfós lanceolat (Epinephelus lanceolatus)			al·lèrgia a l'anfós lanceolat (Epinephelus lanceolatus)	
125	al·lèrgia a l'anhídrid ftàlic	ca	01012021		al·lèrgia a l'anhídrid ftàlic			al·lèrgia a l'anhídrid ftàlic	
126	al·lèrgia a l'anhídrid trimelític ||| al·lèrgia al TMA	ca	01012021		al·lèrgia a l'anhídrid trimelític ||| al·lèrgia al TMA			al·lèrgia a l'anhídrid trimelític	al·lèrgia al TMA
127	al·lèrgia a l'anís (Pimpinella anisum) ||| al·lèrgia a la matafaluga (Pimpinella anisum)	ca	01012021		al·lèrgia a l'anís (Pimpinella anisum) ||| al·lèrgia a la matafaluga (Pimpinella anisum)			al·lèrgia a l'anís (Pimpinella anisum)	al·lèrgia a la matafaluga (Pimpinella anisum)
128	al·lèrgia a l'anisakis (Anisakis)	ca	01012021		al·lèrgia a l'anisakis (Anisakis)			al·lèrgia a l'anisakis (Anisakis)	
129	al·lèrgia a l'anistreplasa	ca	01012021		al·lèrgia a l'anistreplasa			al·lèrgia a l'anistreplasa	
130	al·lèrgia a l'antagonista del receptor 5-HT3 ||| al·lèrgia a l'antagonista del receptor de 5-hidroxitriptamina  ₃ ||| al·lèrgia a l'antagonista del receptor de serotonina ₃ ||| al·lèrgia a l'antagonista del receptor de serotonina ₃	ca	01012021		al·lèrgia a l'antagonista del receptor 5-HT3 ||| al·lèrgia a l'antagonista del receptor de 5-hidroxitriptamina  ₃ ||| al·lèrgia a l'antagonista del receptor de serotonina ₃ ||| al·lèrgia a l'antagonista del receptor de serotonina ₃			al·lèrgia a l'antagonista del receptor 5-HT3	al·lèrgia a l'antagonista del receptor de 5-hidroxitriptamina  ₃ ||| al·lèrgia a l'antagonista del receptor de serotonina ₃ ||| al·lèrgia a l'antagonista del receptor de serotonina ₃
131	al·lèrgia a l'antazolina ||| al·lèrgia a la imidamina	ca	01012021		al·lèrgia a l'antazolina ||| al·lèrgia a la imidamina			al·lèrgia a l'antazolina	al·lèrgia a la imidamina
132	al·lèrgia a l'antídot contra les cremades per àcid fluorhídric	ca	01012021		al·lèrgia a l'antídot contra les cremades per àcid fluorhídric			al·lèrgia a l'antídot contra les cremades per àcid fluorhídric	
133	al·lèrgia a l'antitoxina del botulisme	ca	01012021		al·lèrgia a l'antitoxina del botulisme			al·lèrgia a l'antitoxina del botulisme	
134	al·lèrgia a l'antitoxina diftèrica	ca	01012021		al·lèrgia a l'antitoxina diftèrica			al·lèrgia a l'antitoxina diftèrica	
135	al·lèrgia a l'antitrombina III	ca	01012021		al·lèrgia a l'antitrombina III			al·lèrgia a l'antitrombina III	
136	al·lèrgia a l'api (Apium graveolens)	ca	01012021		al·lèrgia a l'api (Apium graveolens)			al·lèrgia a l'api (Apium graveolens)	
