SAMLEX_ID	SAMLEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT	DEFINICIÓ	NOTES
22	atenció centrada en la persona ||| ACP	ca	01012021		atenció centrada en la persona ||| ACP			atenció centrada en la persona	ACP	Model d'atenció integrada en què la persona atesa és part activa de la planificació, el desenvolupament i l'avaluació del procés d'atenció, amb l'objectiu que aconsegueixi els màxims nivells possibles de salut, qualitat de vida i benestar, i se li respectin la dignitat, els drets, les necessitats i, en la mesura que es pugui, les preferències.	
23	atenció compartida	ca	01012021		atenció compartida			atenció compartida		Atenció en què intervenen conjuntament professionals de diversos àmbits i nivells d'atenció, que comparteixen informació i objectius i, si escau, prenen decisions de manera conjunta, per a garantir l'atenció integrada.	
24	atenció comunitària	ca	01012021		atenció comunitària			atenció comunitària		Atenció que pren en consideració els determinants socials de la salut, fomenta la promoció de la salut i la prevenció en les esferes individual i col·lectiva i prioritza l'atenció domiciliària i l'atenció sociosanitària, amb l'objectiu de mantenir les persones ateses integrades en el seu entorn i evitar o reduir la institucionalització.	NOTA: L'atenció comunitària s'ofereix, per exemple, a través dels centres d'atenció sanitària i sociosanitària, com els hospitals de dia de salut mental, els serveis i programes de rehabilitació i els centres de salut mental, o a través d'instruments i programes concrets, com el pla de suport individualitzat o el programa d'atenció específica a les persones amb trastorns psicòtics incipients.
25	atenció domiciliària ||| servei d'atenció de salut a domicili	ca	01012021		atenció domiciliària ||| servei d'atenció de salut a domicili			atenció domiciliària	servei d'atenció de salut a domicili	Atenció social o sanitària que es presta al domicili d'una persona com a part d'un conjunt d'intervencions en crisi o quan les condicions personals no li permeten anar al centre assistencial, amb l'objectiu de mantenir-la en el seu entorn social i afectiu habitual.	NOTA: L'atenció domiciliària ofereix una atenció integral tant a la persona atesa com a la seva unitat de convivència. En les persones amb un problema de salut mental, evita l'hospitalització psiquiàtrica i permet, així, que tinguin el màxim nivell de salut, qualitat de vida, benestar i autonomia.
26	atenció especialitzada	ca	01012021		atenció especialitzada			atenció especialitzada		Atenció social o sanitària que es presta a persones amb necessitats complexes, difícils de gestionar, en serveis especialitzats en aquest tipus d'atenció.	NOTA: 1. L'atenció especialitzada en l'àmbit de la salut mental pot ser una atenció ambulatòria o pot requerir l'hospitalització psiquiàtrica. En línies generals, el sistema sanitari compta amb una xarxa d'atenció a la salut mental d'adults, una xarxa d'atenció a la salut mental d'infants i joves i una xarxa d'atenció a les addiccions. NOTA: 2. Hi ha professionals que són de l'opinió que només l'atenció que es presta en el marc d'una hospitalització psiquiàtrica forma part de l'atenció especialitzada, ja que consideren que l'atenció que es presta als altres centres de salut i la resta de prestacions de salut en el marc de la comunitat formen part de l'atenció primària.
27	atenció integrada	ca	01012021		atenció integrada			atenció integrada		Atenció que unifica la planificació, la gestió clínica i la provisió dels serveis socials i sanitaris, la qual garanteix la qualitat com a model de pràctica col·laborativa entre diferents serveis amb l'objectiu d'obtenir resultats més satisfactoris en salut i una utilització adequada dels serveis, i de millorar la qualitat de vida i la satisfacció de l'usuari.	NOTA: L'atenció integrada té en compte tots els agents implicats (persones ateses, professionals, agents de la comunitat, especialistes en gestió de casos, etc.) per a proveir serveis orientats a les necessitats de les persones i de la comunitat.
28	atenció integral	ca	01012021		atenció integral			atenció integral		Atenció que incorpora la promoció de la salut, la prevenció, la recuperació i la rehabilitació, la qual garanteix una gestió global de les necessitats de la persona en la dimensió física, psíquica, funcional, social i espiritual	
29	atenció precoç ||| atenció primerenca	ca	01012021		atenció precoç ||| atenció primerenca			atenció precoç	atenció primerenca	Conjunt d'intervencions dutes a terme per un equip interdisciplinari de professionals i adreçades a la població infantil de 0 a 6 anys, a la seva família i al seu entorn que tenen per objectiu donar resposta al més aviat possible a les necessitats transitòries o permanents que presenten els infants amb trastorns en el desenvolupament o que corren el risc de patir-ne.	
30	atenció primària ||| atenció primària de salut	ca	01012021		atenció primària ||| atenció primària de salut			atenció primària	atenció primària de salut	Atenció sanitària o social bàsica, de caràcter assistencial, integral, polivalent, comunitari i preventiu, a què té accés la població de manera general, que constitueix el primer nivell de contacte de les persones amb els serveis sanitaris i socials públics, amb el qual es garanteix la proximitat i l'accessibilitat a aquests serveis.	NOTA: 1. L'atenció primària té un paper important en la promoció de la salut mental i la prevenció dels trastorns mentals i els trastorns per ús de substàncies a través, per exemple, de la detecció precoç, la identificació dels factors de risc i el foment dels factors de protecció. NOTA: 2. L'atenció primària compta amb el suport dels serveis especialitzats de salut mental i addiccions per atendre les necessitats de salut i socials generals de les persones amb trastorns mentals i trastorns per ús de substàncies.
31	atenció sociosanitària	ca	01012021		atenció sociosanitària			atenció sociosanitària		Atenció que organitza de manera integrada l'assistència psiquiàtrica, mèdica i psicològica, les cures infermeres, la rehabilitació, la teràpia ocupacional, l'atenció a les famílies i la prestació de serveis socials d'acord amb les necessitats més complexes de persones amb problemes de salut crònics, les quals necessiten atenció física, social i mental continuada i d'alta intensitat.	
32	aula integral de suport ||| AIS	ca	01012021		aula integral de suport ||| AIS			aula integral de suport	AIS	Espai en què docents i professionals de la salut ofereixen atenció educativa i terapèutica de manera temporal, integral i intensiva a alumnes amb necessitats educatives especials associades a trastorns mentals i a trastorns greus de conducta segons un pla de suport individualitzat, amb l'objectiu que assoleixin l'equilibri i el benestar personal i psicològic suficient per a tornar al context escolar ordinari.	NOTA: 1. A l'aula integral de suport, el personal docent treballa en col·laboració amb l'equip d'assessorament i orientació pedagògica i professionals del centre de salut mental infantil i juvenil de referència. NOTA: 2. L'aula integral de suport pot dependre d'un centre educatiu ordinari o d'un centre d'educació especial.
33	autocura	ca	01012021		autocura			autocura		Conjunt d'accions que, a partir de l'empoderament, duu a terme una persona per a mantenir o incrementar la seva salut mental i física i el seu benestar.	NOTA: 1. L'autocura en les persones amb un trastorn mental greu o trastorns per ús de substàncies comporta adoptar un estil de vida que contribueixi a consolidar un projecte de vida i frenar l'evolució del trastorn. NOTA: 2. L'autocura també és important per a les persones que conviuen amb una persona amb un trastorn mental o un trastorn per ús de substàncies i que, com a cuidadores, en tenen cura.
34	autodeterminació	ca	01012021		autodeterminació			autodeterminació		Capacitat d'una persona de controlar, afrontar i prendre, per iniciativa pròpia, decisions sobre com viure d'acord amb les normes, les preferències i els valors propis.	
35	autoestigma	ca	01012021		autoestigma			autoestigma		Estigma que una persona amb un trastorn mental o un trastorn per ús de substàncies assumeix com a element constituent de la pròpia identitat, que li provoca un sentiment de vergonya, i de vegades, de culpa, i una pèrdua progressiva de l'autoestima.	NOTA: L'autoestigma pot dificultar el compliment terapèutic, empitjorar el funcionament social i conduir a l'aïllament social. Per tant, constitueix un obstacle per a la recuperació. És especialment prevalent en les persones amb un trastorn mental greu o un trastorn per ús de substàncies, encara que també pot afectar de manera molt negativa les persones amb un trastorn mental lleu.
36	autoestigmatització	ca	01012021		autoestigmatització			autoestigmatització		Procés pel qual es genera l'autoestigma, caracteritzat per la creença, la percepció, la presa de consciència i l'assumpció pròpies de l'estigma.	
37	autoestima	ca	01012021		autoestima			autoestima		Valor que s'atorga una persona, basat en el concepte que té de si mateixa.	NOTA: L'autoestima, quan és positiva, pot actuar com a factor de protecció; en canvi, quan és negativa, pot suposar un factor de risc.
38	autonomia ||| autonomia personal	ca	01012021		autonomia ||| autonomia personal			autonomia	autonomia personal	Capacitat d'una persona de desenvolupar satisfactòriament les activitats bàsiques de la vida diària per si mateixa o de prendre decisions lliures i responsables sobre els aspectes que afecten la seva vida.	NOTA: 1. L'autonomia per a la presa de decisions requereix capacitat psíquica, mentre que l'autonomia funcional, per a desenvolupar les activitats de la vida diària, requereix capacitat física i psíquica alhora. NOTA: 2. El dèficit d'autonomia en persones amb un trastorn mental està relacionat amb situacions puntuals de crisi aguda o, si l'evolució del trastorn és crònica, amb la manca de motivació per a prendre decisions, relacionar-se o executar tasques.
39	barrera	ca	01012021		barrera			barrera		Factor ambiental que, quan és present en l'entorn, limita la participació plena i efectiva en la vida social d'una persona amb un trastorn mental o un trastorn per ús de substàncies i contribueix a incrementar la seva discapacitat.	NOTA: 1. Les barreres fomenten la iniquitat i la desigualtat social i són una de les causes de la bretxa terapèutica, juntament amb els determinants socials de la salut. NOTA: 2. Una de les barreres principals en salut mental és l'estigma, que limita les persones amb un trastorn mental o un trastorn per ús de substàncies a l'hora de demanar ajuda. També són barreres la baixa acceptabilitat dels tractaments o la disponibilitat limitada de recursos, per exemple. NOTA: 3. El concepte de barrera s'oposa al de facilitador.
40	barrera actitudinal	ca	01012021		barrera actitudinal			barrera actitudinal		Barrera d'accés caracteritzada per l'autoestigma, la manca de percepció de la necessitat de rebre assistència psiquiàtrica, la creença que el trastorn mental millorarà amb el temps i que es pot gestionar de manera autònoma, i la percepció que es deu a una debilitat personal.	
41	barrera ambiental	ca	01012021		barrera ambiental			barrera ambiental		Barrera d'accés caracteritzada per la manca de suport familiar, institucional i social.	
42	barrera d'accés	ca	01012021		barrera d'accés			barrera d'accés		Barrera que dificulta o impedeix que una persona amb un trastorn mental o un trastorn per ús de substàncies pugui acudir amb llibertat als serveis d'atenció a la salut mental i als serveis socials i pugui optar a oportunitats laborals, educatives i de lleure.	NOTA: Són barreres d'accés la barrera actitudinal, la barrera ambiental i la barrera social.
43	barrera social	ca	01012021		barrera social			barrera social		Barrera d'accés caracteritzada per la discriminació, l'estigmatització, la indiferència i el rebuig social.	NOTA: Les barreres socials augmenten el risc de marginació i aïllament social.
44	bretxa terapèutica	ca	01012021		bretxa terapèutica			bretxa terapèutica		Diferència entre el nombre de persones amb un problema de salut mental que tenen accés als serveis i als recursos d'atenció a la salut mental disponibles i el nombre de persones que hi acaben accedint i se n'acaben beneficiant.	NOTA: La bretxa terapèutica en l'accés a l'atenció a la salut mental i a les addiccions s'atribueix a factors com ara les barreres d'accés i els determinants socials de la salut i s'associa a la desigualtat social i a l'estigma.
45	capacitat	ca	01012021		capacitat			capacitat		Conjunt d'aptituds d'una persona per a prendre decisions o realitzar una activitat determinada.	
46	capacitat d'obrar ||| capacitat	ca	01012021		capacitat d'obrar ||| capacitat			capacitat d'obrar	capacitat	Capacitat d'una persona d'exercir de manera personal i plena els drets atorgats per l'ordenament jurídic i d'assumir-ne les obligacions.	NOTA: 1. La capacitat d'obrar comporta la possibilitat de dur a terme actes jurídics. Normalment, s'assoleix en arribar a la majoria d'edat. NOTA: 2. La capacitat d'obrar pot variar en funció de les circumstàncies que afecten la capacitat de decidir d'una persona. Es pot donar el cas, doncs, que es dugui a terme un procés de modificació de la capacitat, que, per sentència judicial, en concreti l'abast i els complements necessaris per a actuar, com ara la tutela o la curatela.NOTA: 3. Des d'un punt de vista legal, es distingeix la capacitat d'obrar de la capacitat jurídica. Tanmateix, la Convenció Internacional sobre els Drets de les Persones amb Discapacitat de l'Organització de les Nacions Unides (Nova York, 2006) considera que no s'ha de fer aquesta distinció entre capacitat d'obrar i capacitat jurídica i que totes les persones han de tenir la mateixa capacitat, sense restriccions ni exclusions. Així, segons la Convenció, les persones amb discapacitat tenen plena capacitat d'obrar, encara que necessitin alguns suports per tal d'exercir-la; per tant, a l'hora de prendre decisions la seva voluntat no es pot substituir. Es tracta d'oferir l'ajuda necessària en cada moment perquè la persona pugui prendre les seves decisions, en lloc de privar-la d'aquest dret.
47	capacitat funcional	ca	01012021		capacitat funcional			capacitat funcional		Capacitat d'una persona de dur a terme les activitats quotidianes amb certa autonomia i participar en la societat.	NOTA: 1. La capacitat funcional es pot veure especialment limitada en les persones amb un trastorn mental greu i persistent, especialment pel que fa a la motivació per dur a terme activitats i tasques i a l'hora de plantejar-se metes. NOTA: 2. La capacitat funcional de les persones amb trastorns mentals greus i persistents es pot millorar amb programes de rehabilitació comunitària.
48	capacitat jurídica	ca	01012021		capacitat jurídica			capacitat jurídica		Capacitat d'una persona de ser titular de drets i obligacions, que s'adquireix amb el naixement i que només s'extingeix per la mort.	NOTA: La capacitat jurídica no depèn de cap circumstància física, psíquica o sensorial que pugui ser determinant de qualsevol tipus de discapacitat. Per tant, les persones amb discapacitat continuen tenint capacitat jurídica, encara que puguin tenir modificada la capacitat d'obrar.
49	càrrega de la malaltia	ca	01012021		càrrega de la malaltia			càrrega de la malaltia		Indicador de salut que mesura l'impacte d'un problema de salut en la població en termes econòmics, de mortalitat i de morbiditat, a partir de la diferència entre l'estat de salut d'una persona en un moment determinat i l'estat de salut ideal.	NOTA: 1. La càrrega de la malaltia depèn de la freqüència, la mortalitat i la discapacitat associades a una malaltia o un grup de malalties. NOTA: 2. La càrrega de la malaltia és un indicador molt rellevant per a avaluar la pèrdua de salut de la població, ja que permet comparar diversos problemes de salut i orientar la planificació de polítiques sanitàries. NOTA: 3. La càrrega de la malaltia s'expressa, principalment, en anys de vida ajustats per discapacitat. Altres indicadors relacionats són els anys de vida ajustats per qualitat, els anys potencials de vida perduts i els anys viscuts amb discapacitat. NOTA: 4. La càrrega de la malaltia associada als trastorns mentals i als trastorns per ús de substàncies és elevada, ja que l'inici de molts trastorns mentals greus es produeix en la joventut i la mortalitat prematura pot ser alta, sigui per malalties somàtiques associades o per suïcidi.
50	centre d'atenció i seguiment d'addiccions ||| centre d'atenció a les drogodependències ||| centre d'atenció i seguiment a les drogodependències ||| CAS ||| CASD	ca	01012021		centre d'atenció i seguiment d'addiccions ||| centre d'atenció a les drogodependències ||| centre d'atenció i seguiment a les drogodependències ||| CAS ||| CASD			centre d'atenció i seguiment d'addiccions	centre d'atenció a les drogodependències ||| centre d'atenció i seguiment a les drogodependències ||| CAS ||| CASD	Centre d'atenció ambulatòria en què s'ofereix tractament per als trastorns per ús de substàncies d'acord amb un model biopsicosocial i un abordatge interdisciplinari, alhora que es fomenta la prevenció i es vetlla per la reinserció laboral i la reinserció social de les persones que hi acudeixen.	NOTA: 1. El centre d'atenció i seguiment d'addiccions compta, principalment, amb un equip de professionals de la medicina, la psiquiatria, la infermeria, la psicologia clínica, l'educació social i el treball social. NOTA: 2. Al centre d'atenció i seguiment d'addiccions s'hi poden dirigir tant les persones majors de 18 anys que tenen problemes de consum de substàncies com les seves famílies per demanar tractament. NOTA: 3. Les denominacions centre d'atenció a les drogodependències i centre d'atenció i seguiment a les drogodependències s'han substituït per centre d'atenció i seguiment d'addiccions.
51	centre d'educació especial	ca	01012021		centre d'educació especial			centre d'educació especial		Centre educatiu en què s'ofereix una escolarització adaptada a alumnes amb necessitats educatives especials associades a una discapacitat o a un trastorn mental, les quals no troben resposta a l'escola ordinària i impedeixen la integració d'aquest alumnat a la vida escolar comunitària	NOTA: El centre d'educació especial compta, principalment, amb un equip de professionals de l'educació especial, l'educació infantil, la fisioteràpia i la logopèdia.
52	centre de desenvolupament infantil i d'atenció precoç ||| centre de desenvolupament infantil i d'atenció primerenca ||| CDIAP	ca	01012021		centre de desenvolupament infantil i d'atenció precoç ||| centre de desenvolupament infantil i d'atenció primerenca ||| CDIAP			centre de desenvolupament infantil i d'atenció precoç	centre de desenvolupament infantil i d'atenció primerenca ||| CDIAP	Centre en què es duen a terme intervencions terapèutiques en infants de 0 a 6 anys amb trastorns del desenvolupament, o amb risc social o individual de patir-ne, i s'ofereix orientació i suport a les famílies i a les escoles d'educació infantil.	NOTA: 1. El centre de desenvolupament infantil i atenció precoç necessita coordinar-se de manera estreta amb el centre d'atenció primària i el centre de salut mental infantil i juvenil. NOTA: 2. El centre de desenvolupament infantil i atenció precoç compta, principalment, amb un equip de professionals de la neuropediatria, la psicologia, la fisioteràpia, la logopèdia i el treball social.
53	centre de dia de salut mental ||| centre de dia ||| CD ||| CDSM	ca	01012021		centre de dia de salut mental ||| centre de dia ||| CD ||| CDSM			centre de dia de salut mental	centre de dia ||| CD ||| CDSM	Centre d'atenció sanitària en què s'ofereix atenció integral diürna a persones amb un trastorn mental greu, sovint crònic, segons un pla de rehabilitació individual i amb una perspectiva psicosocial, amb l'objectiu que assoleixin la reinserció i la integració social i que mantinguin o recuperin el funcionament social amb un nivell d'autonomia adequat.	NOTA: 1. Els centres de dia de salut mental s'han reconvertit, en la major part, en serveis de rehabilitació comunitària, amb un model d'intervenció més actiu envers la persona, el seu entorn i la comunitat. NOTA: 2. Des del centre de dia de salut mental es vetlla per la continuïtat assistencial a través de la coordinació amb el centre de salut mental de referència. NOTA: 3. El centre de dia de salut mental compta, principalment, amb un equip de professionals de l'educació social, la psicologia, la teràpia ocupacional i el treball social.
54	centre de dia per a persones amb addiccions ||| centre de dia per a persones amb drogodependència	ca	01012021		centre de dia per a persones amb addiccions ||| centre de dia per a persones amb drogodependència			centre de dia per a persones amb addiccions	centre de dia per a persones amb drogodependència	Centre d'atenció sanitària en què s'ofereix atenció integral diürna a persones amb un trastorn per ús de substàncies o altres addiccions en procés de rehabilitació, de manera complementària als processos de tractament terapèutic, i es desenvolupen activitats d'inserció social i programes de caire ocupacional, d'ensenyament prelaboral i laboral, i d'adquisició d'hàbits i responsabilitats.	NOTA: El centre de dia per a persones amb addicions compta, principalment, amb un equip de professionals de la medicina, la psicologia, l'educació social i el treball social.
