ALELEX_ID	ALELEX_DESC	IDIOMA	DATA_INI	DATA_FIN	DESC_CA	DESC_ES	DESC_EN	F_PRINCIPAL	F_COMPLEMENT
	al·lèrgia a l'acetat de ciproterona-etinilestradiol	ca	01012021					al·lèrgia a l'acetat de ciproterona-etinilestradiol	
	"
al·lèrgia a l'acetazolamida
"	ca	01012021					"
al·lèrgia a l'acetazolamida
"	
	al·lèrgia a l'acetilcisteïna	ca	01012021					al·lèrgia a l'acetilcisteïna	
	al·lèrgia a l'acetohexamida	ca	01012021					al·lèrgia a l'acetohexamida	
	al·lèrgia a l'aciclovir	ca	01012021					al·lèrgia a l'aciclovir	
	"al·lèrgia a l'àcid 5-aminosalicílic ||| al·lèrgia a la mesalazina 
 
||| al·lèrgia a la fisalamina||| al·lèrgia a la mesalamina||| al·lèrgia al 5-ASA"	ca	01012021					al·lèrgia a l'àcid 5-aminosalicílic 	"al·lèrgia a la mesalazina 
 
||| al·lèrgia a la fisalamina||| al·lèrgia a la mesalamina||| al·lèrgia al 5-ASA"
	al·lèrgia a l'àcid acètic ||| al·lèrgia a l'àcid etanoic	ca	01012021					al·lèrgia a l'àcid acètic 	al·lèrgia a l'àcid etanoic
	"
al·lèrgia a l'àcid ascòrbic ||| al·lèrgia a la vitamina C"	ca	01012021					"
al·lèrgia a l'àcid ascòrbic "	al·lèrgia a la vitamina C
	al·lèrgia a l'àcid azelaic	ca	01012021					al·lèrgia a l'àcid azelaic	
	al·lèrgia a l'àcid biliar	ca	01012021					al·lèrgia a l'àcid biliar	
	al·lèrgia a l'àcid bòric||| al·lèrgia a la sal sedant de Homberg	ca	01012021					al·lèrgia a l'àcid bòric	al·lèrgia a la sal sedant de Homberg
	al·lèrgia a l'àcid clavulànic	ca	01012021					al·lèrgia a l'àcid clavulànic	
	"
al·lèrgia a l'àcid cromoglícic i als antial·lèrgics relacionats ||| al·lèrgia a la cromolina i als antial·lèrgics relacionats ||| al·lèrgia al cromoglicat i als antial·lèrgics relacionats"	ca	01012021					"
al·lèrgia a l'àcid cromoglícic i als antial·lèrgics relacionats "	al·lèrgia a la cromolina i als antial·lèrgics relacionats ||| al·lèrgia al cromoglicat i als antial·lèrgics relacionats
	al·lèrgia a l'àcid deshidrocòlic	ca	01012021					al·lèrgia a l'àcid deshidrocòlic	
	al·lèrgia a l'àcid etacrínic	ca	01012021					al·lèrgia a l'àcid etacrínic	
	"al·lèrgia a l'àcid fòlic||| al·lèrgia a l'àcid pteroïlglutàmic 

||| al·lèrgia a la folacina||| al·lèrgia a la vitamina B?"	ca	01012021					al·lèrgia a l'àcid fòlic	"al·lèrgia a l'àcid pteroïlglutàmic 

||| al·lèrgia a la folacina||| al·lèrgia a la vitamina B?"
	al·lèrgia a l'àcid folínic ||| al·lèrgia a la leucovorina	ca	01012021					al·lèrgia a l'àcid folínic 	al·lèrgia a la leucovorina
	al·lèrgia a l'àcid fusídic	ca	01012021					al·lèrgia a l'àcid fusídic	
	al·lèrgia a l'àcid gamolènic	ca	01012021					al·lèrgia a l'àcid gamolènic	
	al·lèrgia a l'àcid mandèlic ||| al·lèrgia a l'àcid amigdàlic  ||| al·lèrgia a l'àcid amigdalínic||| al·lèrgia a l'àcid fenilglicòlic	ca	01012021					al·lèrgia a l'àcid mandèlic 	al·lèrgia a l'àcid amigdàlic  ||| al·lèrgia a l'àcid amigdalínic||| al·lèrgia a l'àcid fenilglicòlic
	al·lèrgia a l'àcid mefenàmic	ca	01012021					al·lèrgia a l'àcid mefenàmic	
	al·lèrgia a l'àcid nalidíxic	ca	01012021					al·lèrgia a l'àcid nalidíxic	
	al·lèrgia a l'àcid nicotínic ||| al·lèrgia a la niacina  ||| al·lèrgia a la vitamina B?||| al·lèrgia a la vitamina PP	ca	01012021					al·lèrgia a l'àcid nicotínic 	al·lèrgia a la niacina  ||| al·lèrgia a la vitamina B?||| al·lèrgia a la vitamina PP
	al·lèrgia a l'àcid quenodesoxicòlic	ca	01012021					al·lèrgia a l'àcid quenodesoxicòlic	
	al·lèrgia a l'àcid quenodesoxicòlic-ursodesoxicòlic	ca	01012021					al·lèrgia a l'àcid quenodesoxicòlic-ursodesoxicòlic	
	al·lèrgia a l'àcid salicílic per via tòpica	ca	01012021					al·lèrgia a l'àcid salicílic per via tòpica	
	al·lèrgia a l'àcid tiaprofènic	ca	01012021					al·lèrgia a l'àcid tiaprofènic	
	al·lèrgia a l'àcid tranexàmic	ca	01012021					al·lèrgia a l'àcid tranexàmic	
	al·lèrgia a l'àcid ursodesoxicòlic	ca	01012021					al·lèrgia a l'àcid ursodesoxicòlic	
	al·lèrgia a l'acipimox	ca	01012021					al·lèrgia a l'acipimox	
	al·lèrgia a l'acitretina	ca	01012021					al·lèrgia a l'acitretina	
	al·lèrgia a l'aclarubicina	ca	01012021					al·lèrgia a l'aclarubicina	
	al·lèrgia a l'acrivastina	ca	01012021					al·lèrgia a l'acrivastina	
	al·lèrgia a l'actinídia (Actinidia deliciosa) ||| al·lèrgia al kiwi (Actinidia deliciosa)	ca	01012021					al·lèrgia a l'actinídia (Actinidia deliciosa) 	al·lèrgia al kiwi (Actinidia deliciosa)
	al·lèrgia a l'adenosina	ca	01012021					al·lèrgia a l'adenosina	
	al·lèrgia a l'adhesiu tissular quirúrgic	ca	01012021					al·lèrgia a l'adhesiu tissular quirúrgic	
	al·lèrgia a l'agrelleta (Rumex acetosella)	ca	01012021					al·lèrgia a l'agrelleta (Rumex acetosella)	
	al·lèrgia a l'agrostis (Agrostis stolonifera) ||| al·lèrgia a l'agrostis blanca (Agrostis stolonifera)	ca	01012021					al·lèrgia a l'agrostis (Agrostis stolonifera) 	al·lèrgia a l'agrostis blanca (Agrostis stolonifera)
	al·lèrgia a l'aigua	ca	01012021					al·lèrgia a l'aigua	
	al·lèrgia a l'albendazole	ca	01012021					al·lèrgia a l'albendazole	
	al·lèrgia a l'albercoc||| al·lèrgia al fruit de l'albercoquer (Prunus armeniaca)	ca	01012021					al·lèrgia a l'albercoc	al·lèrgia al fruit de l'albercoquer (Prunus armeniaca)
	al·lèrgia a l'albergínia||| al·lèrgia al fruit de l'alberginiera (Solanum melongena)	ca	01012021					al·lèrgia a l'albergínia	al·lèrgia al fruit de l'alberginiera (Solanum melongena)
	"
al·lèrgia a l'albúmina sèrica bovina
"	ca	01012021					"
al·lèrgia a l'albúmina sèrica bovina
"	
	al·lèrgia a l'albúmina sèrica de gat	ca	01012021					al·lèrgia a l'albúmina sèrica de gat	
	al·lèrgia a l'albúmina sèrica de gos	ca	01012021					al·lèrgia a l'albúmina sèrica de gos	
	al·lèrgia a l'albúmina sèrica de porc	ca	01012021					al·lèrgia a l'albúmina sèrica de porc	
	al·lèrgia a l'alclometasona	ca	01012021					al·lèrgia a l'alclometasona	
	"al·lèrgia a l'alcohol desnaturalitzat industrial||| al·lèrgia a l'alcohol desnaturalitzat per a usos industrials 


||| al·lèrgia a l'esperit metilat industrial||| al·lèrgia a l'esperit metilat per a usos industrials"	ca	01012021					al·lèrgia a l'alcohol desnaturalitzat industrial	"al·lèrgia a l'alcohol desnaturalitzat per a usos industrials 


||| al·lèrgia a l'esperit metilat industrial||| al·lèrgia a l'esperit metilat per a usos industrials"
	"
al·lèrgia a l'alcohol etílic ||| al·lèrgia a l'alcohol ||| al·lèrgia a l'etanol"	ca	01012021					"
al·lèrgia a l'alcohol etílic "	al·lèrgia a l'alcohol ||| al·lèrgia a l'etanol
	al·lèrgia a l'alcohol nicotinílic	ca	01012021					al·lèrgia a l'alcohol nicotinílic	
	al·lèrgia a l'alcohol polivinílic	ca	01012021					al·lèrgia a l'alcohol polivinílic	
	al·lèrgia a l'alcuroni	ca	01012021					al·lèrgia a l'alcuroni	
	al·lèrgia a l'aldesleucina	ca	01012021					al·lèrgia a l'aldesleucina	
	al·lèrgia a l'alfàbrega (Ocimum basilicum)||| al·lèrgia a l'alfàbega (Ocimum basilicum) ||| al·lèrgia a l'alfabeguera (Ocimum basilicum)||| al·lèrgia a l'alfabreguera (Ocimum basilicum)	ca	01012021					al·lèrgia a l'alfàbrega (Ocimum basilicum)	al·lèrgia a l'alfàbega (Ocimum basilicum) ||| al·lèrgia a l'alfabeguera (Ocimum basilicum)||| al·lèrgia a l'alfabreguera (Ocimum basilicum)
	al·lèrgia a l'alfentanil	ca	01012021					al·lèrgia a l'alfentanil	
	al·lèrgia a l'alfuzosina	ca	01012021					al·lèrgia a l'alfuzosina	
	al·lèrgia a l'alimemazina||| al·lèrgia a la trimeprazina	ca	01012021					al·lèrgia a l'alimemazina	al·lèrgia a la trimeprazina
	al·lèrgia a l'alimentació enteral i als complements alimentaris ||| al·lèrgia a l'alimentació enteral i als complements nutricionals ||| al·lèrgia a la nutrició enteral i als complements alimentaris|||  al·lèrgia a la nutrició enteral i als complements nutricionals	ca	01012021					al·lèrgia a l'alimentació enteral i als complements alimentaris 	al·lèrgia a l'alimentació enteral i als complements nutricionals ||| al·lèrgia a la nutrició enteral i als complements alimentaris|||  al·lèrgia a la nutrició enteral i als complements nutricionals
	al·lèrgia a l'alimentació parenteral ||| al·lèrgia a la nutrició intravenosa ||| al·lèrgia a la nutrició parenteral	ca	01012021					al·lèrgia a l'alimentació parenteral 	al·lèrgia a la nutrició intravenosa ||| al·lèrgia a la nutrició parenteral
	"al·lèrgia a l'alimentació parenteral preparada





"	ca	01012021					"al·lèrgia a l'alimentació parenteral preparada





"	
	al·lèrgia a l'all||| al·lèrgia a la cabeça de l'all (Allium sativum)	ca	01012021					al·lèrgia a l'all	al·lèrgia a la cabeça de l'all (Allium sativum)
	al·lèrgia a l'al·lilestrenol	ca	01012021					al·lèrgia a l'al·lilestrenol	
	al·lèrgia a l'al·lopurinol	ca	01012021					al·lèrgia a l'al·lopurinol	
	al·lèrgia a l'alopecur de prat (Alopecurus pratensis)	ca	01012021					al·lèrgia a l'alopecur de prat (Alopecurus pratensis)	
	al·lèrgia a l'alprazolam	ca	01012021					al·lèrgia a l'alprazolam	
	al·lèrgia a l'alprostadil	ca	01012021					al·lèrgia a l'alprostadil	
	al·lèrgia a l'alteplasa	ca	01012021					al·lèrgia a l'alteplasa	
	al·lèrgia a l'altimira (Artemisia vulgaris)	ca	01012021					al·lèrgia a l'altimira (Artemisia vulgaris)	
	al·lèrgia a l'alumini	ca	01012021					al·lèrgia a l'alumini	
	al·lèrgia a l'alverina	ca	01012021					al·lèrgia a l'alverina	
	al·lèrgia a l'alvocat||| al·lèrgia al fruit de l'alvocater (Persea americana)	ca	01012021					al·lèrgia a l'alvocat	al·lèrgia al fruit de l'alvocater (Persea americana)
	al·lèrgia a l'alzina (Quercus ilex)	ca	01012021					al·lèrgia a l'alzina (Quercus ilex)	
	al·lèrgia a l'amantadina	ca	01012021					al·lèrgia a l'amantadina	
	al·lèrgia a l'amarant (Amaranthus)	ca	01012021					al·lèrgia a l'amarant (Amaranthus)	
	al·lèrgia a l'ametlla ||| al·lèrgia a l'ametla||| al·lèrgia al fruit de l'ametller (Prunus dulcis)	ca	01012021					al·lèrgia a l'ametlla 	al·lèrgia a l'ametla||| al·lèrgia al fruit de l'ametller (Prunus dulcis)
	al·lèrgia a l'amfepramona	ca	01012021					al·lèrgia a l'amfepramona	
	al·lèrgia al dietilpropió	ca	01012021					al·lèrgia al dietilpropió	
	"
al·lèrgia a l'amfotericina||| al·lèrgia a l'amfotericina B"	ca	01012021					"
al·lèrgia a l'amfotericina"	al·lèrgia a l'amfotericina B
	al·lèrgia a l'amifostina	ca	01012021					al·lèrgia a l'amifostina	
	al·lèrgia a l'amikacina	ca	01012021					al·lèrgia a l'amikacina	
	al·lèrgia a l'amilasa	ca	01012021					al·lèrgia a l'amilasa	
	al·lèrgia a l'amilorida	ca	01012021					al·lèrgia a l'amilorida	
	al·lèrgia a l'amilorida i als diürètics de nansa||| al·lèrgia a l'amilorida i als diürètics de sostre alt	ca	01012021					al·lèrgia a l'amilorida i als diürètics de nansa	al·lèrgia a l'amilorida i als diürètics de sostre alt
	al·lèrgia a l'amilorida i als diürètics tiazídics	ca	01012021					al·lèrgia a l'amilorida i als diürètics tiazídics	
	al·lèrgia a l'aminofil·lina	ca	01012021					al·lèrgia a l'aminofil·lina	
	al·lèrgia a l'aminoglutetimida	ca	01012021					al·lèrgia a l'aminoglutetimida	
	al·lèrgia a l'amiodarona	ca	01012021					al·lèrgia a l'amiodarona	
	al·lèrgia a l'amitriptilina	ca	01012021					al·lèrgia a l'amitriptilina	
	al·lèrgia a l'amlodipina	ca	01012021					al·lèrgia a l'amlodipina	
	al·lèrgia a l'amobarbital	ca	01012021					al·lèrgia a l'amobarbital	
	al·lèrgia a l'amobarbital sòdic ||| al·lèrgia a l'amobarbital de sodi	ca	01012021					al·lèrgia a l'amobarbital sòdic 	al·lèrgia a l'amobarbital de sodi
	al·lèrgia a l'amodiaquina	ca	01012021					al·lèrgia a l'amodiaquina	
	al·lèrgia a l'amorolfina	ca	01012021					al·lèrgia a l'amorolfina	
	al·lèrgia a l'amoxapina	ca	01012021					al·lèrgia a l'amoxapina	
	al·lèrgia a l'amoxicil·lina	ca	01012021					al·lèrgia a l'amoxicil·lina	
	al·lèrgia a l'amoxicil·lina-àcid clavulànic ||| al·lèrgia a l'amoxicil·lina-clavulanat de potassi	ca	01012021					al·lèrgia a l'amoxicil·lina-àcid clavulànic 	al·lèrgia a l'amoxicil·lina-clavulanat de potassi
	al·lèrgia a l'ampicil·lina	ca	01012021					al·lèrgia a l'ampicil·lina	
	al·lèrgia a l'ampicil·lina-cloxacil·lina	ca	01012021					al·lèrgia a l'ampicil·lina-cloxacil·lina	
	al·lèrgia a l'ampicil·lina-flucloxacil·lina	ca	01012021					al·lèrgia a l'ampicil·lina-flucloxacil·lina	
	al·lèrgia a l'amsacrina	ca	01012021					al·lèrgia a l'amsacrina	
	al·lèrgia a l'anacard||| al·lèrgia a la llavor de l'anacard (Anacardium occidentale) ||| al·lèrgia al fruit de l'anacard (Anacardium occidentale)	ca	01012021					al·lèrgia a l'anacard	al·lèrgia a la llavor de l'anacard (Anacardium occidentale) ||| al·lèrgia al fruit de l'anacard (Anacardium occidentale)
	al·lèrgia a l'ancrod	ca	01012021					al·lèrgia a l'ancrod	
	al·lèrgia a l'anet (Anethum graveolens)  ||| al·lèrgia al fonoll pudent (Anethum graveolens)	ca	01012021					al·lèrgia a l'anet (Anethum graveolens)  	al·lèrgia al fonoll pudent (Anethum graveolens)
	al·lèrgia a l'anfós lanceolat (Epinephelus lanceolatus)	ca	01012021					al·lèrgia a l'anfós lanceolat (Epinephelus lanceolatus)	
	al·lèrgia a l'anhídrid ftàlic	ca	01012021					al·lèrgia a l'anhídrid ftàlic	
	al·lèrgia a l'anhídrid trimelític ||| al·lèrgia al TMA	ca	01012021					al·lèrgia a l'anhídrid trimelític 	al·lèrgia al TMA
	al·lèrgia a l'anís (Pimpinella anisum) ||| al·lèrgia a la matafaluga (Pimpinella anisum)	ca	01012021					al·lèrgia a l'anís (Pimpinella anisum) 	al·lèrgia a la matafaluga (Pimpinella anisum)
	al·lèrgia a l'anisakis (Anisakis)	ca	01012021					al·lèrgia a l'anisakis (Anisakis)	
	al·lèrgia a l'anistreplasa	ca	01012021					al·lèrgia a l'anistreplasa	
	al·lèrgia a l'antagonista del receptor 5-HT3||| al·lèrgia a l'antagonista del receptor de 5-hidroxitriptamina  ? ||| al·lèrgia a l'antagonista del receptor de serotonina ?|||  al·lèrgia a l'antagonista del receptor de serotonina ?	ca	01012021					al·lèrgia a l'antagonista del receptor 5-HT3	al·lèrgia a l'antagonista del receptor de 5-hidroxitriptamina  ? ||| al·lèrgia a l'antagonista del receptor de serotonina ?|||  al·lèrgia a l'antagonista del receptor de serotonina ?
	al·lèrgia a l'antazolina ||| al·lèrgia a la imidamina	ca	01012021					al·lèrgia a l'antazolina 	al·lèrgia a la imidamina
	al·lèrgia a l'antídot contra les cremades per àcid fluorhídric	ca	01012021					al·lèrgia a l'antídot contra les cremades per àcid fluorhídric	
	al·lèrgia a l'antitoxina del botulisme	ca	01012021					al·lèrgia a l'antitoxina del botulisme	
	al·lèrgia a l'antitoxina diftèrica	ca	01012021					al·lèrgia a l'antitoxina diftèrica	
	al·lèrgia a l'antitrombina III	ca	01012021					al·lèrgia a l'antitrombina III	
	al·lèrgia a l'api (Apium graveolens)	ca	01012021					al·lèrgia a l'api (Apium graveolens)	
	al·lèrgia a l'apomorfina	ca	01012021					al·lèrgia a l'apomorfina	
	al·lèrgia a l'apraclonidina	ca	01012021					al·lèrgia a l'apraclonidina	
	al·lèrgia a l'aprotinina	ca	01012021					al·lèrgia a l'aprotinina	
	al·lèrgia a l'arabinòsid de citosina ||| al·lèrgia a l'ARA-C||| al·lèrgia a la citarabina	ca	01012021					al·lèrgia a l'arabinòsid de citosina 	al·lèrgia a l'ARA-C||| al·lèrgia a la citarabina
	al·lèrgia a l'areng (Clupea harengus)||| al·lèrgia a l'areng (Clupea harengus)	ca	01012021					al·lèrgia a l'areng (Clupea harengus)	al·lèrgia a l'areng (Clupea harengus)
	al·lèrgia a l'arna de la farina (Ephestia kuehniella)	ca	01012021					al·lèrgia a l'arna de la farina (Ephestia kuehniella)	
	al·lèrgia a l'arròs||| al·lèrgia al gra de l'arròs (Oryza sativa)	ca	01012021					al·lèrgia a l'arròs	al·lèrgia al gra de l'arròs (Oryza sativa)
	al·lèrgia a l'articaïna	ca	01012021					al·lèrgia a l'articaïna	
	al·lèrgia a l'aserbina	ca	01012021					al·lèrgia a l'aserbina	
	al·lèrgia a l'asparaginasa||| al·lèrgia a l'L-asparaginaamidohidrolasa ||| al·lèrgia a la crisantaspasa	ca	01012021					al·lèrgia a l'asparaginasa	al·lèrgia a l'L-asparaginaamidohidrolasa ||| al·lèrgia a la crisantaspasa
	al·lèrgia a l'aspirina ||| al·lèrgia a l'AAS||| al·lèrgia a l'àcid acetilsalicílic	ca	01012021					al·lèrgia a l'aspirina 	al·lèrgia a l'AAS||| al·lèrgia a l'àcid acetilsalicílic
	al·lèrgia a l'astemizole	ca	01012021					al·lèrgia a l'astemizole	
	al·lèrgia a l'atenolol	ca	01012021					al·lèrgia a l'atenolol	
	al·lèrgia a l'atovaquona	ca	01012021					al·lèrgia a l'atovaquona	
	al·lèrgia a l'atracuri	ca	01012021					al·lèrgia a l'atracuri	
	al·lèrgia a l'atropina	ca	01012021					al·lèrgia a l'atropina	
	al·lèrgia a l'auranofina	ca	01012021					al·lèrgia a l'auranofina	
	al·lèrgia a l'aurotiomalat de sodi	ca	01012021					al·lèrgia a l'aurotiomalat de sodi	
	al·lèrgia a l'avellana||| al·lèrgia al fruit de l'avellaner (Corylus avellana)	ca	01012021					al·lèrgia a l'avellana	al·lèrgia al fruit de l'avellaner (Corylus avellana)
	al·lèrgia a l'avellaner (Corylus avellana)	ca	01012021					al·lèrgia a l'avellaner (Corylus avellana)	
	al·lèrgia a l'azapropazona	ca	01012021					al·lèrgia a l'azapropazona	
	al·lèrgia a l'azatadina	ca	01012021					al·lèrgia a l'azatadina	
	al·lèrgia a l'azatioprina ||| al·lèrgia a l'AZA	ca	01012021					al·lèrgia a l'azatioprina 	al·lèrgia a l'AZA
	al·lèrgia a l'azelastina	ca	01012021					al·lèrgia a l'azelastina	
	al·lèrgia a l'azitromicina	ca	01012021					al·lèrgia a l'azitromicina	
	al·lèrgia a l'azlocil·lina	ca	01012021					al·lèrgia a l'azlocil·lina	
	al·lèrgia a l'aztreonam	ca	01012021					al·lèrgia a l'aztreonam	
	al·lèrgia a l'econazole	ca	01012021					al·lèrgia a l'econazole	
	al·lèrgia a l'ecotiopat	ca	01012021					al·lèrgia a l'ecotiopat	
	al·lèrgia a l'edetat	ca	01012021					al·lèrgia a l'edetat	
	al·lèrgia a l'edetat de dicobalt	ca	01012021					al·lèrgia a l'edetat de dicobalt	
	al·lèrgia a l'edetat de sodi i calci	ca	01012021					al·lèrgia a l'edetat de sodi i calci	
	al·lèrgia a l'edetat disòdic	ca	01012021					al·lèrgia a l'edetat disòdic	
	al·lèrgia a l'edetat trisòdic	ca	01012021					al·lèrgia a l'edetat trisòdic	
	al·lèrgia a l'edrofoni	ca	01012021					al·lèrgia a l'edrofoni	
	al·lèrgia a l'efedrina	ca	01012021					al·lèrgia a l'efedrina	
	al·lèrgia a l'emperador (Xiphias gladius) ||| al·lèrgia al peix espasa (Xiphias gladius)	ca	01012021					al·lèrgia a l'emperador (Xiphias gladius) 	al·lèrgia al peix espasa (Xiphias gladius)
	al·lèrgia a l'enantat de flufenazina	ca	01012021					al·lèrgia a l'enantat de flufenazina	
	al·lèrgia a l'enbucrilat	ca	01012021					al·lèrgia a l'enbucrilat	
	al·lèrgia a l'enciam (Lactuca sativa) ||| al·lèrgia a l'encisam (Lactuca sativa) ||| al·lèrgia a la lletuga (Lactuca sativa)	ca	01012021					al·lèrgia a l'enciam (Lactuca sativa) 	al·lèrgia a l'encisam (Lactuca sativa) ||| al·lèrgia a la lletuga (Lactuca sativa)
	al·lèrgia a l'enflurà	ca	01012021					al·lèrgia a l'enflurà	
	al·lèrgia a l'enoxacina	ca	01012021					al·lèrgia a l'enoxacina	
	al·lèrgia a l'enoxaparina	ca	01012021					al·lèrgia a l'enoxaparina	
	al·lèrgia a l'enoximona	ca	01012021					al·lèrgia a l'enoximona	
	al·lèrgia a l'enterotoxina D produïda per l'estafilococ daurat (Staphylococcus aureus)||| al·lèrgia a l'enterotoxina D de l'estafilococ daurat (Staphylococcus aureus)||| al·lèrgia a l'enterotoxina estafilocòccica D produïda per l'estafilococ daurat (Staphylococcus aureus)	ca	01012021					al·lèrgia a l'enterotoxina D produïda per l'estafilococ daurat (Staphylococcus aureus)	al·lèrgia a l'enterotoxina D de l'estafilococ daurat (Staphylococcus aureus)||| al·lèrgia a l'enterotoxina estafilocòccica D produïda per l'estafilococ daurat (Staphylococcus aureus)
	al·lèrgia a l'enterotoxina produïda per l'estafilococ daurat (Staphylococcus aureus)||| al·lèrgia a l'enterotoxina de l'estafilococ daurat (Staphylococcus aureus)||| al·lèrgia a l'enterotoxina estafilocòccica produïda per l'estafilococ daurat (Staphylococcus aureus)	ca	01012021					al·lèrgia a l'enterotoxina produïda per l'estafilococ daurat (Staphylococcus aureus)	al·lèrgia a l'enterotoxina de l'estafilococ daurat (Staphylococcus aureus)||| al·lèrgia a l'enterotoxina estafilocòccica produïda per l'estafilococ daurat (Staphylococcus aureus)
	al·lèrgia a l'epirubicina	ca	01012021					al·lèrgia a l'epirubicina	
	al·lèrgia a l'epiteli d'animal	ca	01012021					al·lèrgia a l'epiteli d'animal	
	al·lèrgia a l'epiteli de canari	ca	01012021					al·lèrgia a l'epiteli de canari	
	al·lèrgia a l'epiteli de cavall	ca	01012021					al·lèrgia a l'epiteli de cavall	
	al·lèrgia a l'epiteli de cérvol	ca	01012021					al·lèrgia a l'epiteli de cérvol	
	al·lèrgia a l'epiteli de conill	ca	01012021					al·lèrgia a l'epiteli de conill	
	al·lèrgia a l'epiteli de fura	ca	01012021					al·lèrgia a l'epiteli de fura	
	al·lèrgia a l'epiteli de gat	ca	01012021					al·lèrgia a l'epiteli de gat	
	al·lèrgia a l'epiteli de gos	ca	01012021					al·lèrgia a l'epiteli de gos	
	al·lèrgia a l'epiteli de guineu	ca	01012021					al·lèrgia a l'epiteli de guineu	
	al·lèrgia a l'epiteli de hàmster	ca	01012021					al·lèrgia a l'epiteli de hàmster	
	al·lèrgia a l'epiteli de periquito comú ||| al·lèrgia a l'epiteli de periquito	ca	01012021					al·lèrgia a l'epiteli de periquito comú 	al·lèrgia a l'epiteli de periquito
	al·lèrgia a l'epiteli de porc	ca	01012021					al·lèrgia a l'epiteli de porc	
	al·lèrgia a l'epiteli de rata	ca	01012021					al·lèrgia a l'epiteli de rata	
	al·lèrgia a l'epiteli de ratolí	ca	01012021					al·lèrgia a l'epiteli de ratolí	
	al·lèrgia a l'epiteli de ren	ca	01012021					al·lèrgia a l'epiteli de ren	
	al·lèrgia a l'epiteli de vaca	ca	01012021					al·lèrgia a l'epiteli de vaca	
	al·lèrgia a l'epiteli de visó	ca	01012021					al·lèrgia a l'epiteli de visó	
	al·lèrgia a l'epiteli de xinxilla	ca	01012021					al·lèrgia a l'epiteli de xinxilla	
	al·lèrgia a l'epoetina alfa	ca	01012021					al·lèrgia a l'epoetina alfa	
	al·lèrgia a l'epoetina beta	ca	01012021					al·lèrgia a l'epoetina beta	
	al·lèrgia a l'epoprostenol ||| al·lèrgia a la PGI2||| al·lèrgia a la prostaciclina ||| al·lèrgia a la prostaglandina I?	ca	01012021					al·lèrgia a l'epoprostenol 	al·lèrgia a la PGI2||| al·lèrgia a la prostaciclina ||| al·lèrgia a la prostaglandina I?
	al·lèrgia a l'ergolina	ca	01012021					al·lèrgia a l'ergolina	
